taxa;cat
Abies;tree
Acacia;tree
Acanthaceae;shrub
Acer;tree
Aceraceae;tree
Actinidiaceae;shrub
Adoxaceae;shrub
Aesculus;tree
Aglaia;tree
Ailanthus;tree
Aizoaceae;herb
Alangium;shrub
Albizia;tree
Alchornea;shrub
Aleurites;tree
Alfaroa;tree
Allophylus;shrub
Alnus;tree
Altingia;tree
Amaranthaceae;herb
Amaryllidaceae;herb
Amelanchier;shrub
Amyris;tree
Anacardiaceae;tree
Anacardium;tree
Annona;tree
Annonaceae;tree
Antidesma;tree
Antirhea;shrub
Aphanamixis;tree
Apiaceae;herb
Apocynaceae;herb
Apodytes;tree
Aporosa;tree
Aquifoliaceae;shrub
Araceae;herb
Araliaceae;shrub
Arbutus;tree
Arctostaphylos;shrub
Ardisia;shrub
Arecaceae;tree
Arenga;tree
Aristolochiaceae;shrub
Artemisia;herb
Asimina;shrub
Asparagaceae;herb
Asphodelaceae;herb
Asteraceae;herb
Astronium;tree
Avicennia;shrub
Balsaminaceae;herb
Banara;shrub
Bataceae;shrub
Begoniaceae;herb
Berberidaceae;shrub
Betula;tree
Betulaceae;tree
Biebersteiniaceae;herb
Bignoniaceae;tree
Blepharandra;shrub
Bobea;tree
Bombax;tree
Boraginaceae;herb
Brassicaceae;herb
Bravaisia;tree
Bromeliaceae;grass
Brosimum;tree
Broussonetia;tree
Buddleja;shrub
Bursera;tree
Buxaceae;shrub
Buxus;shrub
Byrsonima;tree
Cactaceae;shrub
Caesalpinia;tree
Calceolariaceae;herb
Callicarpa;tree
Calycanthaceae;shrub
Camellia;tree
Campanulaceae;herb
Cannabaceae;herb
Canotia;tree
Canthium;shrub
Capparaceae;tree
Capparis;shrub
Caprifoliaceae;shrub
Caragana;shrub
Carica;shrub
Carya;tree
Caryocar;tree
Caryodendron;tree
Caryophyllaceae;herb
Casasia;shrub
Casearia;herb
Cassia;tree
Castanea;tree
Castanopsis;tree
Casuarina;tree
Catalpa;tree
Cathaya;tree
Ceanothus;shrub
Cecropia;tree
Cedrus;tree
Celastraceae;shrub
Celtis;tree
Cephalanthus;shrub
Ceratonia;tree
Cercidiphyllum;tree
Cercis;shrub
Cercocarpus;shrub
Chamaecyparis;tree
Chamaerops;tree
Cheirodendron;tree
Chrysobalanaceae;tree
Chrysolepis;tree
Cistaceae;herb
Citharexylum;shrub
Citrus;tree
Claoxylon;shrub
Clausena;tree
Cleomaceae;herb
Clerodendrum;shrub
Clethra;tree
Clethraceae;shrub
Clusiaceae;shrub
Coccoloba;shrub
Colchicaceae;herb
Colubrina;shrub
Combretaceae;shrub
Combretum;shrub
Commelinaceae;herb
Commiphora;herb
Connarus;shrub
Conocarpus;shrub
Convolvulaceae;herb
Cordia;shrub
Cordyline;herb
Coriariaceae;shrub
Cornaceae;shrub
Cornus;shrub
Corylus;tree
Cotinus;shrub
Crassulaceae;herb
Crataegus;shrub
Cratoxylum;shrub
Cryptomeria;tree
Cucurbitaceae;herb
Cunninghamia;tree
Cupania;tree
Cupressaceae;shrub
Cupressus;shrub
Cyclobalanopsis;tree
Cyclocarya;tree
Cyperaceae;grass
Cyrilla;shrub
Cyrillaceae;shrub
Dacrydium;tree
Dalbergia;shrub
Datiscaceae;herb
Decaspermum;shrub
Dendropanax;tree
Diapensiaceae;herb
Didymopanax;tree
Dilleniaceae;shrub
Dioscoreaceae;herb
Diospyros;shrub
Dipsacaceae;herb
Dipterocarpaceae;tree
Distylium;tree
Dodonaea;shrub
Droseraceae;herb
Drypetes;shrub
Ebenaceae;tree
Elaeagnaceae;shrub
Elaeagnus;shrub
Elaeocarpaceae;shrub
Elaeocarpus;tree
Engelhardia;tree
Ephedraceae;shrub
Ericales;shrub
Erithalis;shrub
Erythrina;tree
Eucalyptus;tree
Eucommiaceae;tree
Eugenia;shrub
Euonymus;shrub
Euphorbiaceae;herb
Euptelea;shrub
Eupteleaceae;shrub
Eurya;tree
Excoecaria;tree
Exostema;tree
Fabaceae;herb
Fagaceae;tree
Fagraea;shrub
Fagus;tree
Faramea;herb
Ficus;shrub
Flacourtia;shrub
Flacourtiaceae;shrub
Forestiera;shrub
Fouquieriaceae;shrub
Frangula;shrub
Frankeniaceae;shrub
Fraxinus;tree
Garcinia;shrub
Gardenia;shrub
Garryaceae;shrub
Genipa;tree
Genista;shrub
Gentianaceae;herb
Geraniaceae;herb
Gesneriaceae;herb
Ginkgo;tree
Gleditsia;tree
Glochidion;herb
Glyptostrobus;tree
Gordonia;tree
Grewia;shrub
Grossulariaceae;shrub
Guaiacum;tree
Guarea;tree
Guazuma;tree
Guettarda;tree
Gunneraceae;herb
Gustavia;tree
Gymnanthes;tree
Haematoxylum;tree
Haloxylon;shrub
Hamamelidaceae;shrub
Hamamelis;shrub
Hasseltia;tree
Hedyosmum;shrub
Heisteria;shrub
Helicia;tree
Heliocarpus;tree
Heliotropium;herb
Helwingia;shrub
Heritiera;tree
Heteropanax;shrub
Hevea;tree
Hieronyma;tree
Homalanthus;shrub
Hopea;tree
Hydrangea;shrub
Hydrangeaceae;shrub
Hymenaea;tree
Hypericaceae;herb
Hypoxidaceae;herb
Icacinaceae;shrub
Idesia;tree
Ilex;shrub
Illicium;shrub
Indeterminable;herb
Inga;tree
Iriartea;tree
Iridaceae;herb
Itea;shrub
Juglandaceae;tree
Juglans;tree
Juncaceae;herb
Juniperus;shrub
Keteleeria;tree
Koelreuteria;tree
Lagerstroemia;tree
Laguncularia;tree
Lamiaceae;herb
Lardizabalaceae;shrub
Larix;tree
Lauraceae;tree
Laurus;shrub
Lawsonia;shrub
Leitneria;shrub
Leptecophylla;shrub
Leptospermum;shrub
Leucaena;tree
Licania;shrub
Ligustrum;shrub
Liliaceae;herb
Linaceae;herb
