"Name"	"Area_m2"	"d_m"
"100001"	786279158.76927	31640.5075519678
"100002"	301964142.995061	19607.9751109944
"100071"	190338.789411952	492.287389211135
"100072"	31541758.8052011	6337.20874054821
"100074"	48031787.8923244	7820.22836935335
"100075"	19341053.7557898	4962.43836019352
"100076"	10957000.733882	3735.08857004365
"100079"	50171372.9415655	7992.50749407574
"100080"	50171372.9415655	7992.50749407574
"100081"	214032552.837125	16508.019570283
"100083"	668924.189114789	922.876335166772
"100088"	2128127766.9849	52053.9761130129
"100104"	30715598.3920965	6253.664086999
"100112"	2395224928.80987	55224.0445629999
"100115"	263196.287648308	578.888522481935
"100123"	166236.531057824	460.064044587725
"100126"	700685.312746663	944.531761564521
"100136"	294308322.615616	19357.8148224141
"100137"	1582173.62773199	1419.32590671257
"100143"	24218701.6289058	5553.03598368179
"100149"	32121474.0307403	6395.18029230781
"100151"	322005627.610876	20248.2171734065
"100153"	47444193.8527263	7772.24702266803
"100154"	4770889.49832141	2464.64706861338
"100157"	17583160.3711877	4731.55102540556
"100158"	655983.805861423	913.906189019769
"100159"	4268054413.05001	73717.4040357953
"100181"	1714427.12166186	1477.45605953827
"100183"	248427.830519581	562.412782420791
"100188"	7400671.17447987	3069.6623913599
"100191"	22207293.9279387	5317.4434468651
"100192"	987173616.409384	35452.9051832378
"100194"	27455321.3417309	5912.46148788329
"100199"	454704811.558692	24061.3413436965
"1002"	30326.2097035941	196.500711033185
"100202"	426385237604.139	736811.065205245
"100203"	426385237604.139	736811.065205245
"100204"	264523964.501541	18352.1762233661
"100207"	426385237604.139	736811.065205245
"100208"	53630.3084393696	261.312513097535
"100210"	857249060.719305	33037.6059028933
"100217"	677018817.589015	29359.9579544007
"100220"	270543710.952459	18559.8208871764
"100221"	69459.8630420557	297.387027956893
"100222"	3570732.34132566	2132.22832282113
"100223"	2355668597.90589	54766.1429456613
"100226"	37171160.6870792	6879.51972963915
"100227"	220390411.821041	16751.4115110046
"100228"	104538915.234629	11537.0308502858
"100229"	237032527.734981	17372.368511539
"100230"	241787078.706502	17545.7365195968
"100237"	1985087.77116547	1589.80887216611
"100238"	3491238.41521166	2108.36021835596
"100242"	249086.317289823	563.157659297867
"100248"	45066668093.1584	239542.614091238
"100250"	1871926.30535788	1543.8298471048
"100252"	4380822654.02041	74684.9157566
"100254"	23132.3593848769	171.618864731855
"100255"	294308322.615616	19357.8148224141
"100256"	294308322.615616	19357.8148224141
"100259"	70959362.29942	9505.17049551511
"100262"	131392.245655719	409.015651339186
"100273"	24664721.4432972	5603.93600083757
"100275"	17945389.2451282	4780.03966851347
"100279"	820768.054823576	1022.26921329791
"100283"	16556646.0550373	4591.3588931227
"100284"	135906186.455269	13154.509909875
"100285"	11733961.7385944	3865.24825877818
"100286"	11733961.7385944	3865.24825877818
"100287"	11733961.7385944	3865.24825877818
"100296"	454704811.573534	24061.3413440892
"100297"	58555362.5458854	8634.52390984735
"100299"	47112.5178250156	244.919416843275
"100300"	1773844.85551453	1502.84044937117
"100302"	71148.641573575	300.980504361435
"100303"	371832.934483942	688.064238439896
"100304"	242716333.869556	17579.4207650838
"100305"	543371.519656435	831.770464917704
"100306"	458798.426951174	764.303801021899
"100308"	3638117.3194569	2152.25343292058
"100310"	119407524.646371	12330.2223142447
"100313"	374971.387304632	690.961937056205
"100314"	2997.34445021487	61.7765123910863
"100315"	174212.428165481	470.971498845339
"100316"	1890830.73889663	1551.60577118158
"100317"	411552.630700345	723.88195456681
"100320"	464597174.636272	24321.6671944818
"100321"	27530225.8200826	5920.52127684871
"100322"	3498433.75822391	2110.531735276
"100324"	29964782.4089304	6176.75852793638
"100325"	5828883.7858088	2724.25500600758
"100326"	82425917.3718743	10244.4100615381
"100327"	35193604.6620263	6694.01891074919
"100328"	105078.58190063	365.773435039472
"100329"	19967.5235335468	159.44729716537
"100330"	527422.45830333	819.47247097949
"101000"	1856741.24644075	1537.5553256092
"101001"	38240.866499126	220.657615893097
"1013"	112086.446575425	377.773604436143
"1024"	166318.48905569	460.177441088008
"1030"	57312.4896913468	270.134278243708
"10981"	114688.654070381	382.133654229591
"1133"	1760851.72004994	1497.32629789986
"1138"	971812.659042925	1112.36248928471
"1142"	334905.66968831	653.004703201415
"1147"	256527.220558637	571.507306616683
"1153"	35284.1172960212	211.955498731144
"1157"	49399.9861353923	250.79476840028
"1158"	14136166.2130098	4242.49052248243
"1160"	36786.8597201286	216.422005633191
"1161"	599845.355581384	873.926099536994
"1171"	78517.9152659074	316.183672391093
"12023"	1148.9055981111	38.246987341262
"13029"	181014.307536869	480.077675505531
"13032"	52342.9016429549	258.157030231588
"13051"	844463.434284785	1036.92055559443
"13053"	329897.334272164	648.103642713134
"13055"	692564.278856835	939.042186012701
"13060"	11172.3412753761	119.268884119395
"13071"	47078.4706536189	244.830901934052
"13073"	203093.56914219	508.51427070756
"13097"	95346.3565221316	348.423236266463
"14110"	31975.5471113194	201.773464674308
"14264"	65176.6438538846	288.072005491484
"14266"	10532406.1817376	3662.00437626737
"14270"	204656.000432833	510.466563859397
"14289"	104795.743802608	365.280830498145
"1432"	1419438.11226627	1344.35290598921
