Event	Data_Source	Site_ID	Dataset_ID	Site_Name	Site_Name_Clean	Longitude	Latitude	Continent	Age_Source	minAgeBP	maxAgeBP	medianAgeBP	meanAgeBP	Depth	Sample_ID	Abies	Acacia	Acanthaceae	Acer	Aceraceae	Acoraceae	Actinidiaceae	Adina	Adoxaceae	Aegiceras	Aesculus	Aglaia	Ailanthus	Aizoaceae	Akebia	Alangiaceae	Alangium	Albizia	Alchornea	Allophylus	Alnus	Altingia	Amaranthaceae	Amaryllidaceae	Ampelopsis	Anacardiaceae	Annona	Annonaceae	Antidesma	Aphanamixis	Apiaceae	Apocynaceae	Apodytes	Aporosa	Aquifoliaceae	Araceae	Araliaceae	Arctostaphylos	Ardisia	Arecaceae	Arenga	Artemisia	Asparagaceae	Asphodelaceae	Asteraceae	Avicennia	Baccaurea	Balsaminaceae	Bauhinia	Berberidaceae	Betula	Betulaceae	Biebersteiniaceae	Bignoniaceae	Bombax	Boraginaceae	Brassicaceae	Bromeliaceae	Broussonetia	Buddleja	Buxaceae	Buxus	Cactaceae	Caesalpinia	Callicarpa	Camellia	Campanulaceae	Camptotheca	Cannabaceae	Capparaceae	Capparis	Caprifoliaceae	Caragana	Carallia	Carya	Caryophyllaceae	Casearia	Castanea	Castanopsis	Casuarina	Casuarinaceae	Catalpa	Cedrus	Celastraceae	Celtis	Cephalanthus	Cephalotaxus	Cercidiphyllum	Cercis	Chamaecyparis	Chionanthus	Chloranthaceae	Choerospondias	Cinnamomum	Cistaceae	Citrus	Claoxylon	Clausena	Cleidiocarpon	Clerodendrum	Clethra	Clethraceae	Cleyera	Clusiaceae	Cocculus	Colchicaceae	Combretaceae	Commelinaceae	Convolvulaceae	Coriariaceae	Cornaceae	Cornus	Corylus	Cotinus	Crassulaceae	Crataegus	Cratoxylum	Cryptomeria	Cucurbitaceae	Cunninghamia	Cupressaceae	Cupressus	Cyclobalanopsis	Cyclocarya	Cyperaceae	Dacrydium	Dalbergia	Datiscaceae	Davidia	Decaspermum	Desmos	Deutzia	Diapensiaceae	Dichapetalaceae	Dioscoreaceae	Diospyros	Diplospora	Dipsacaceae	Dipterocarpaceae	Disanthus	Distylium	Dodonaea	Droseraceae	Ebenaceae	Ehretia	Elaeagnaceae	Elaeagnus	Elaeocarpaceae	Elaeocarpus	Eleutherococcus	Endospermum	Engelhardia	Entada	Ephedra	Ephedraceae	Ericales	Eriobotrya	Erythroxylum	Eucalyptus	Euonymus	Euphorbiaceae	Euptelea	Eupteleaceae	Eurya	Excoecaria	Fabaceae	Fagaceae	Fagraea	Fagus	Ficus	Flacourtia	Flacourtiaceae	Flueggea	Fothergilla	Frangula	Frankeniaceae	Fraxinus	Garcinia	Gardenia	Genista	Gentianaceae	Geraniaceae	Gesneriaceae	Ginkgo	Gironniera	Gleditsia	Glochidion	Glyptostrobus	Grewia	Grossulariaceae	Gymnocladus	Gymnosporia	Hamamelidaceae	Hamamelis	Helicia	Heliotropium	Helwingia	Hemiptelea	Heritiera	Heteropanax	Homalanthus	Hopea	Hydrangea	Hydrangeaceae	Hypericaceae	Icacinaceae	Idesia	Ilex	Illicium	Indeterminable	Iridaceae	Itea	Juglandaceae	Juglans	Juncaceae	Juniperus	Keteleeria	Koelreuteria	Lagerstroemia	Lamiaceae	Lardizabalaceae	Larix	Lauraceae	Lepisanthes	Ligustrum	Liliaceae	Linaceae	Liquidambar	Liriodendron	Lithocarpus	Loropetalum	Lumnitzera	Lythraceae	Maackia	Macaranga	Maesa	Magnolia	Magnoliaceae	Mallotus	Malpighiaceae	Malus	Malvaceae	Mangifera	Maytenus	Melaleuca	Melanthiaceae	Melastomataceae	Melia	Meliaceae	Meliosma	Melodinus	Menispermaceae	Mespilus	Metasequoia	Microtropis	Miliusa	Molluginaceae	Montiaceae	Moraceae	Moringa	Morus	Myrica	Myricaceae	Myrsinaceae	Myrsine	Myrtaceae	Myrtus	Nandina	Nerium	Nitrariaceae	Nothofagus	Nyctaginaceae	Nyssa	Olax	Olea	Oleaceae	Onagraceae	Orchidaceae	Orobanchaceae	Osmanthus	Ostrya.Carpinus	Ostryopsis	Oxalidaceae	Paeoniaceae	Paliurus	Pandanus	Papaveraceae	Parrotia	Passifloraceae	Pedaliaceae	Pentacoelium	Pentaphylacaceae	Pentaphylax	Pericampylus	Phellodendron	Phillyrea	Phoenix	Phrymaceae	Phyllanthaceae	Picea	Pinaceae	Pinus	Piperaceae	Pistacia	Pittosporaceae	Plantaginaceae	Platanus	Platycarya	Platycladus	Plumbaginaceae	Poaceae	Podocarpaceae	Podocarpus	Polemoniaceae	Polygalaceae	Polygonaceae	Pometia	Populus	Portulacaceae	Premna	Primulaceae	Prosopis	Proteaceae	Prunus	Pseudolarix	Pseudotsuga	Pterocarya	Pteroceltis	Pterolobium	Punica	Pygeum	Pyrus	Quercus	Randia	Ranunculaceae	Reevesia	Resedaceae	Rhamnaceae	Rhamnoneuron	Rhamnus	Rhizophora	Rhododendron	Rhodoleia	Rhus	Rosaceae	Rourea	Rubiaceae	Rumex	Rutaceae	Sabiaceae	Salicaceae	Salix	Sambucus	Samydaceae	Santalaceae	Sapindaceae	Sapindus	Sapium	Sapotaceae	Saururaceae	Saxifragaceae	Schefflera	Schima	Schisandraceae	Schoepfia	Sciadopitys	Scrophulariaceae	Sinomenium	Skimmia	Sloanea	Solanaceae	Sonneratia	Sophora	Sorbus	Stauntonia	Sterculia	Styracaceae	Styrax	Symplocaceae	Symplocos	Syringa	Syzygium	Tamaricaceae	Tamarix	Tapiscia	Taxaceae	Taxodium	Taxus	Terminalia	Ternstroemia	Tetracentron	Tetramelaceae	Thalictrum	Theaceae	Thymelaeaceae	Tilia	Tiliaceae	Tofieldiaceae	Toona	Toxicodendron	Trachycarpus	Trema	Tripterygium	Trochodendraceae	Trochodendron	Tsuga	Turpinia	Ulmaceae	Ulmus	Urticaceae	Valerianaceae	Verbenaceae	Viburnum	Violaceae	Vitaceae	Vitex	Wendlandia	Wikstroemia	Xanthoceras	Xylosma	Xyridaceae	Zanthoxylum	Zelkova	Ziziphus	Zygophyllaceae
ELGENNYA	Neotoma	773	792	Elgennya Lake	Elgennya Lake	149	62.08333	Asia	AWI	-133	31	-51	-51	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	635	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	16	0	0	1	0	0	0	0	0	381	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	660	0	0	0	0	0	0	0	0	45	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	2	0	0	6	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	6	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELGENNYA	Neotoma	773	792	Elgennya Lake	Elgennya Lake	149	62.08333	Asia	AWI	-5	692	235	265	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	668	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	0	0	2	0	0	0	0	0	297	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	654	0	0	0	0	0	0	0	0	44	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	6	0	0	6	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELGENNYA	Neotoma	773	792	Elgennya Lake	Elgennya Lake	149	62.08333	Asia	AWI	172	1086	557	576	20	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198	0	0	0	0	0	0	0	0	8	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELGENNYA	Neotoma	773	792	Elgennya Lake	Elgennya Lake	149	62.08333	Asia	AWI	401	1414	905	909	30	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	520	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	222	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	388	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	3	0	0	4	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELGENNYA	Neotoma	773	792	Elgennya Lake	Elgennya Lake	149	62.08333	Asia	AWI	717	1642	1229	1218	40	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	0	0	0	0	0	0	0	0	9	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELGENNYA	Neotoma	773	792	Elgennya Lake	Elgennya Lake	149	62.08333	Asia	AWI	1168	1850	1568	1553	50	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0	0	11	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELGENNYA	Neotoma	773	792	Elgennya Lake	Elgennya Lake	149	62.08333	Asia	AWI	1485	1965	1765	1758	57	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	212	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	346	0	0	0	0	0	0	0	0	38	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	9	0	0	4	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELGENNYA	Neotoma	773	792	Elgennya Lake	Elgennya Lake	149	62.08333	Asia	AWI	1697	2235	1983	1980	70	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELGENNYA	Neotoma	773	792	Elgennya Lake	Elgennya Lake	149	62.08333	Asia	AWI	1812	2408	2115	2117	80	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	343	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	664	0	0	0	0	0	0	0	0	68	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELGENNYA	Neotoma	773	792	Elgennya Lake	Elgennya Lake	149	62.08333	Asia	AWI	1931	2579	2248	2251	90	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	493	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	185	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	321	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
