Event	Data_Source	Site_ID	Dataset_ID	Site_Name	Site_Name_Clean	Longitude	Latitude	Continent	Age_Source	minAgeBP	maxAgeBP	medianAgeBP	meanAgeBP	Depth	Sample_ID	Abies	Acacia	Acanthaceae	Acer	Acoraceae	Adoxaceae	Aesculus	Ailanthus	Aizoaceae	Alchornea	Alnus	Amaranthaceae	Amaryllidaceae	Anacardiaceae	Apiaceae	Apocynaceae	Araceae	Araliaceae	Arbutus	Arctostaphylos	Arecaceae	Argania	Aristolochiaceae	Artemisia	Asparagaceae	Asphodelaceae	Asteraceae	Balsaminaceae	Berberidaceae	Betula	Betulaceae	Boraginaceae	Brassicaceae	Buxus	Calceolariaceae	Campanulaceae	Cannabaceae	Cannaceae	Capparis	Caprifoliaceae	Carya	Caryophyllaceae	Castanea	Casuarina	Cathaya	Cedrus	Celastraceae	Celtis	Cephalanthus	Ceratonia	Cercis	Chamaerops	Cistaceae	Citrus	Cleomaceae	Clusiaceae	Colchicaceae	Combretaceae	Commelinaceae	Convolvulaceae	Coriariaceae	Cornaceae	Cornus	Corylus	Cotinus	Crassulaceae	Crataegus	Cryptomeria	Cucurbitaceae	Cupressaceae	Cupressus	Cyperaceae	Cytinaceae	Dacrydium	Datiscaceae	Diapensiaceae	Dioscoreaceae	Diospyros	Dipsacaceae	Droseraceae	Elaeagnaceae	Elaeagnus	Engelhardia	Ephedra	Ephedraceae	Ericales	Erythrina	Eucalyptus	Euonymus	Euphorbiaceae	Fabaceae	Fagaceae	Fagus	Ficus	Frangula	Frankeniaceae	Fraxinus	Genista	Gentianaceae	Geraniaceae	Grewia	Grossulariaceae	Hagenia	Heliotropium	Hydrangea	Hypericaceae	Icacinaceae	Ilex	Indeterminable	Iridaceae	Juglandaceae	Juglans	Juncaceae	Juniperus	Lamiaceae	Larix	Laurus	Leucaena	Ligustrum	Liliaceae	Liliales	Linaceae	Liquidambar	Liriodendron	Lythraceae	Maerua	Magnolia	Magnoliaceae	Malus	Malvaceae	Maytenus	Melanthiaceae	Mespilus	Montiaceae	Moraceae	Morus	Myrica	Myricaceae	Myrsine	Myrtaceae	Myrtus	Nartheciaceae	Nerium	Nitrariaceae	Nothofagus	Nyctaginaceae	Nyssa	Nyssaceae	Olea	Oleaceae	Onagraceae	Orchidaceae	Orobanchaceae	Osmanthus	Ostrya.Carpinus	Oxalidaceae	Paeoniaceae	Paliurus	Papaveraceae	Pedaliaceae	Penthoraceae	Phillyrea	Phoenix	Phrymaceae	Phyllanthaceae	Phytolaccaceae	Picconia	Picea	Pinaceae	Pinus	Pistacia	Plantaginaceae	Platanus	Platycarya	Plumbaginaceae	Poaceae	Podocarpaceae	Podocarpus	Polemoniaceae	Polygalaceae	Polygonaceae	Populus	Portulacaceae	Primulaceae	Prosopis	Prunus	Pseudotsuga	Pterocarya	Punica	Pyrus	Quercus	Ranunculaceae	Resedaceae	Rhamnaceae	Rhamnus	Rhododendron	Rhus	Robinia	Rosaceae	Rubiaceae	Rumex	Rutaceae	Salicaceae	Salix	Salvadoraceae	Sambucus	Santalaceae	Sapindaceae	Sapotaceae	Saxifragaceae	Sciadopitys	Scrophulariaceae	Sequoia	Smilacaceae	Solanaceae	Sorbus	Staphylea	Sterculia	Styrax	Symplocos	Syringa	Tamaricaceae	Tamarix	Taxaceae	Taxodium	Taxus	Thalictrum	Thymelaeaceae	Tilia	Tofieldiaceae	Trachycarpus	Tsuga	Ulmaceae	Ulmus	Urticaceae	Valerianaceae	Verbenaceae	Viburnum	Violaceae	Vitaceae	Vitex	Zelkova	Ziziphus	Zygophyllaceae
MASEHJ	Neotoma	3277	4257	Masehjavri	Masehjavri	20.97475	69.04527	Europe	AWI	-27	507	286	258	5	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	95	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MASEHJ	Neotoma	3277	4257	Masehjavri	Masehjavri	20.97475	69.04527	Europe	AWI	145	844	514	505	10	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	132	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MASEHJ	Neotoma	3277	4257	Masehjavri	Masehjavri	20.97475	69.04527	Europe	AWI	372	1105	745	743	15	3	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	173	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MASEHJ	Neotoma	3277	4257	Masehjavri	Masehjavri	20.97475	69.04527	Europe	AWI	606	1327	982	978	20	4	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	134	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MASEHJ	Neotoma	3277	4257	Masehjavri	Masehjavri	20.97475	69.04527	Europe	AWI	929	1523	1217	1216	25	5	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	218	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MASEHJ	Neotoma	3277	4257	Masehjavri	Masehjavri	20.97475	69.04527	Europe	AWI	1126	1841	1453	1461	30	6	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	255	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MASEHJ	Neotoma	3277	4257	Masehjavri	Masehjavri	20.97475	69.04527	Europe	AWI	1327	2134	1699	1707	35	7	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	138	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MASEHJ	Neotoma	3277	4257	Masehjavri	Masehjavri	20.97475	69.04527	Europe	AWI	1530	2418	1940	1949	40	8	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	204	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MASEHJ	Neotoma	3277	4257	Masehjavri	Masehjavri	20.97475	69.04527	Europe	AWI	1765	2669	2184	2191	45	9	0	0	0	0	0	0	0	0	0	0	11	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	320	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MASEHJ	Neotoma	3277	4257	Masehjavri	Masehjavri	20.97475	69.04527	Europe	AWI	2037	2929	2420	2431	50	10	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	266	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
