Project	Event	Data_Source	Site_Name	Site_Name_Clean	Site_ID	Dataset_ID	Latitude	Longitude	Elevation	Continent	Basin_Type	Basin_Source	Basin_Comment	Basin_Area	Data_Type	Number_Pollen_Samples	AgeModel_Source	Number_Datings
LegacyPollen_1.0	3PINES	Neotoma	Three Pines Bog	Three Pines Bog	7	7	47	-80.1167	294	Eastern North America	Peat	FIXED_100	b, LW, L2,	NA	Raw	41	AWI	2
LegacyPollen_1.0	ABALONE	Neotoma	Abalone Rocks Marsh	Abalone Rocks Marsh	7	8	33.95639	-119.977	0	Western North America	Peat	FIXED_100	NA	NA	Raw	32	AWI	8
LegacyPollen_1.0	ADANGE	Neotoma	Adange	Adange	9	9	43.30556	41.33333	1750	Europe	Alluvial/Fluvial	NA	NA	NA	Raw	40	AWI	4
LegacyPollen_1.0	Adycha_River	Neotoma	Konus Exposure, Adycha River	Konus Exposure, Adycha River	11	11	67.75	135.5833	130	Asia	Alluvial/Fluvial	NA	NA	NA	Raw	13	AWI	5
LegacyPollen_1.0	AGE_neotoma	Neotoma	Ageröds Mosse	Agerods Mosse	12	12	55.93448	13.42774	58	Europe	Peat	FIXED_100	NA	NA	Raw	135	AWI	33
LegacyPollen_1.0	AGUILAR	Neotoma	Aguilar	Aguilar	15	15	-23.8333	-65.75	4000	South America	Peat	FIXED_100	NA	NA	Raw	24	AWI	3
LegacyPollen_1.0	AHL5	Neotoma	Ahlenmoor	Ahlenmoor	16	16	53.694	8.729075	2	Europe	Peat	FIXED_100	NA	NA	Raw	50	AWI	5
LegacyPollen_1.0	AKULININ	Neotoma	Akulinin Exposure P1282	Akulinin Exposure P1282	19	19	47.11667	138.55	20	Asia	Alluvial/Fluvial	NA	NA	NA	Raw	29	AWI	4
LegacyPollen_1.0	AKUV	Neotoma	Akuvaara	Akuvaara	20	20	69.12326	27.67406	170	Europe	Lake	GIS	l, GE, L2,	43966.09331	Raw	34	AWI	5
LegacyPollen_1.0	ALEXLAKE	Neotoma	Alexander Lake	Alexander Lake	24	24	53.3	-60.54	143	Eastern North America	Lake	GIS	l, LW, L1,	430322.3236	Raw	25	AWI	4
LegacyPollen_1.0	ALEXISLK	Neotoma	Alexis Lake	Alexis Lake	25	25	52.51667	-57.0333	200	Eastern North America	Lake	GIS	l, LW, L2,	863081.8296	Raw	15	AWI	4
LegacyPollen_1.0	ALIUK	Neotoma	Aliuk Pond	Aliuk Pond	27	27	54.58333	-57.3667	25	Eastern North America	Lake	Google Earth	6 lakes in 1 km radius averaged	7196.784032	Raw	9	AWI	2
LegacyPollen_1.0	ALUT	Neotoma	Alut Lake	Alut Lake	31	31	60.14	152.33	480	Asia	Lake	GIS	l, GE, L2, modified LW shape	791210.7447	Raw	117	AWI	25
LegacyPollen_1.0	AMARETE	Neotoma	Amarete	Amarete	32	32	-15.2333	-68.9833	4000	South America	Peat	FIXED_100	NA	NA	Raw	15	AWI	2
