"Dataset_ID","Project","Event_LegacyPollen 1.0","Event","Event_Neotoma","Neotoma_DOI","Neotoma_comment","Data_Source","Site_ID","Site_Name","Site_Name_Clean","Latitude","Longitude","Elevation","Continent","Basin_Type","Data_Type","Number_Pollen_Samples","AgeModel_Source","Number_Datings","minimum_meanAge","maximum_meanAge","mean_resolution_meanAge","range_meanAge","Site_Description","Submission_Pollendata","Publication_1","Publication_DOI_1","Publication_2","Publication_DOI_2","Publication_3","Publication_DOI_3","Publication_4","Publication_DOI_4","Publication_5","Publication_DOI_5","Publication_6","Publication_DOI_6","Publication_7","Publication_DOI_7","Publication_8","Publication_DOI_8","Basin_Area","Basin_Source","Basin_Comment"
7,"LegacyPollen_1.0","3PINES","3PINES","3PINES","10.21233/n3bc7k","","Neotoma (last access: 1 April 2021)",7,"Three Pines Bog","Three Pines Bog",47,-80.1167,294,"Eastern North America","Peat","Raw",41,"AWI",2,207,7394,179.7,7187,"Bog.",NA,"Gordon, D.L., 1990. Prehistoric occupations at Lake Temagami. In: Temagami: a debate on wilderness, ed. by Bray, M. and Thomson, A. (pp.152-183). Dunburn Press, Toronto, Ontario, Canada.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107487826.82747,"FIXED_100","b, LW, L2,"
8,"LegacyPollen_1.0","ABALONE","ABALONE","ABALONE","10.21233/n36p49","","Neotoma (last access: 1 April 2021)",8,"Abalone Rocks Marsh","Abalone Rocks Marsh",33.95639,-119.977,0,"Western North America","Peat","Raw",32,"AWI",8,-49,5845,190.1,5894,"Small estuarine marsh. Physiography: Santa Rosa Island. Surrounding vegetation: coastal marsh and grassland.",NA,"Cole, K.L. and Liu, G.W., 1994. Holocene paleoecology of an estuary on Santa Rosa Island, California. Quaternary Research, 41(3), pp.326-335.","https://doi.org/10.1006/qres.1994.1037",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27000,"FIXED_100",NA
12,"LegacyPollen_1.0","AGE_neotoma","AGE_neotoma","AGE","10.21233/znex-sp94","","Neotoma (last access: 1 April 2021)",12,"Ageröds Mosse","Agerods Mosse",55.93448,13.42774,58,"Europe","Peat","Raw",135,"AWI",33,-29,12403,92.8,12432,"Forested Sphagnum bog. Physiography: till. Surrounding vegetation: pasture and arable land.","1960-01-01 00:00:00","Nilsson, T., 1964. Standard pollen diagramme und C14 datiengen aus dem Agerods mosse in mittleren schonen. Lunds Universitets Arsskrift N. F., 59(7), pp.1-52 (in German).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1500050.80182871,"FIXED_100",NA
16,"LegacyPollen_1.0","AHL5","AHL5","AHL5","10.21233/n3bh6k","","Neotoma (last access: 1 April 2021)",16,"Ahlenmoor","Ahlenmoor",53.694,8.729075,2,"Europe","Peat","Raw",50,"AWI",5,136,4537,89.8,4401,"Excavated bog. Physiography: Raised bog. Surrounding vegetation: Sphagnetum.","1973-06-26 00:00:00","Behre, K.E. and Kucan, D., 1986. Die Reflektion archaologisch bekannter Siedlungen in Pollendiagrammen verschiedener Entfernung - Beispiele aus der Siedlungskammer Flogeln, Nordwestdeutschland .In: Anthropogenic indicators in pollen diagrams ed. by K.E. Behre (pp.95-114). Balkema, Rotterdam (in German).",NA,"Behre, K.E., 1976. Pollenanalytische Untersuchungen zur Vegetations-und Siedlungsgeschichte bei Flogeln und im Ahlenmoor (Elb-Weser-Winkel). Probleme der Kustenforschung im sudlichen Nordseegebiet, 11, pp.101-118 (in German).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FIXED_100",NA
20,"LegacyPollen_1.0","AKUV","AKUV","AKUV","10.21233/n37g69","","Neotoma (last access: 1 April 2021)",20,"Akuvaara","Akuvaara",69.12326,27.67406,170,"Europe","Lake","Raw",34,"AWI",5,-23,10745,326.3,10768,"Lake. Physiography: Hill of sandy/gravelly outwash. Surrounding vegetation: Thin pine forest.","1973-04-01 00:00:00","Hyvarinen, H., 1975. Absolute and relative pollen diagrams from northernmost Fennoscandia. Fennia-International Journal of Geography, 142(1), pp.1-23.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43966.09,"GIS","l, GE, L2,"
24,"LegacyPollen_1.0","ALEXLAKE","ALEXLAKE","ALEXLAKE","10.21233/n3f97t","","Neotoma (last access: 1 April 2021)",24,"Alexander Lake","Alexander Lake",53.3,-60.54,143,"Eastern North America","Lake","Raw",25,"AWI",4,4178,7237,127.5,3059,"Physiography: rolling glacial till, eskers, kettles,.","1972-01-01 00:00:00","Jordan, R.H., 1975. Pollen diagrams from Hamilton Inlet, central Labrador, and their environmental implications for the northern Maritime Archaic. Arctic Anthropology, 12(2), pp.92-116.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,430322.3,"GIS","l, LW, L1,"
25,"LegacyPollen_1.0","ALEXISLK","ALEXISLK","ALEXISLK","10.21233/n39m4j","","Neotoma (last access: 1 April 2021)",25,"Alexis Lake","Alexis Lake",52.51667,-57.0333,200,"Eastern North America","Lake","Raw",15,"AWI",4,-67,27644,1979.4,27711,"Lake in Alexis River watershed. Physiography: Mecatina Plateau/Laurentian region. Surrounding vegetation: Black Spruce, Lichen Barrens.",NA,"Lamb, H.F., 1978. Post-glacial vegetation change in southeastern Labrador. Master's thesis. University of Minnesota, Minneapolis, Minnesota, USA.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,863081.8,"GIS","l, LW, L2,"
27,"LegacyPollen_1.0","ALIUK","ALIUK","ALIUK","10.21233/n35t17","","Neotoma (last access: 1 April 2021)",27,"Aliuk Pond","Aliuk Pond",54.58333,-57.3667,25,"Eastern North America","Lake","Raw",9,"AWI",2,2323,11207,1110.5,8884,"Small glacial scour lake. Physiography: coastal lowlands. Surrounding vegetation: sedge-shrub and lichen-heath tundra.","1972-01-01 00:00:00","Jordan, R.H., 1975. Pollen diagrams from Hamilton Inlet, central Labrador, and their environmental implications for the northern Maritime Archaic. Arctic Anthropology, 12(2), pp.92-116.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7196.784,"Google Earth","6 lakes in 1 km radius averaged"
31,"LegacyPollen_1.0","ALUT","ALUT","ALUT","10.21233/n36k5n","","Neotoma (last access: 1 April 2021)",31,"Alut Lake","Alut Lake",60.14,152.33,480,"Asia","Lake","Raw",117,"AWI",25,-66,34322,296.4,34388,"Tectonic lake. Physiography: valley in mountains. Surrounding vegetation: Larix forest.","1996-07-01 00:00:00","Anderson, P.M. and Lozhkin, A.V., 2002. Late Quaternary Vegetation and Climate of Siberia and the Russian Far East (Palynological and Radiocarbon Database). North East Science Center, Far East Branch, Russian Academy of Sciences, Magadan, Russia.",NA,"Anderson, P.M., Lozhkin, A.V., Belaya, B.V. and Stetsenko, T.V., 1998. New data about the stratigraphy of late Quaternary deposits of northern Priokhot'ye. In: Environmental changes in Beringia during the Quaternary ed. by K.V. Simakov (pp.69-87). North East Interdisciplinary Research Institute, Far East Branch, Russian Academy of Sciences, Magadan (in Russian).",NA,"Anderson, P.M. and Lozhkin, A.V., 2001. The latest Pleistocene interstade (Karginskii/Boutellier interval) of Beringia: variations in paleoenvironments and implications for paleoclimatic interpretations. Quaternary Science Reviews, 20(1-3), pp.93-125.","https://doi.org/10.1016/S0277-3791(00)00129-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,791210.7,"GIS","l, GE, L2, modified LW shape"
202,"LegacyPollen_1.0","ANDERSLK","ANDERSLK","ANDERSLK","10.21233/n33w32","","Neotoma (last access: 1 April 2021)",202,"Anderson Lake","Anderson Lake",46.41667,-92.7167,339,"Eastern North America","Lake","Raw",24,"AWI",4,11693,12647,41.5,954,"Physiography: Nickerson Moraine. Surrounding vegetation: maple-basswood, Juglans cinerea.",NA,"Wright Jr, H.E. and Watts, W.A., 1969. Glacial and vegetational history of northeastern Minnesota. Special Publications Series 11. Minnesota Geological Survey, University of Minnesota, Minneapolis, Minnesota, USA.",NA,"Stuiver, M., 1969. Yale natural radiocarbon measurements IX. Radiocarbon, 11(2), pp.545-658.","https://doi.org/10.1017/S0033822200011413",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30284.46,"GIS","l, GE, L2,"
