"Dataset_ID"	"Continent"	"Sample_ID"	"Age_BP"	"Distance_weighting"	"Basin_type"	"Basin_Area"	"Basin_Diameter"	"RPP_Set"	"Basin_Source"	"Pollen_Source_Radius"	"Pollen_Source_Area"	"Median_rel_influx_at_PSR"	"Std_rel_influx_at_PSR"	"Abies.mean"	"Acer.mean"	"Alnus.mean"	"Amaranthaceae.mean"	"Apiaceae.mean"	"Artemisia.mean"	"Asteraceae.mean"	"Betula.mean"	"Boraginaceae.mean"	"Brassicaceae.mean"	"Buxus.mean"	"Campanulaceae.mean"	"Caprifoliaceae.mean"	"Caryophyllaceae.mean"	"Castanea.mean"	"Cistaceae.mean"	"Corylus.mean"	"Cupressaceae.mean"	"Cyperaceae.mean"	"Ericales.mean"	"Fabaceae.mean"	"Fagus.mean"	"Frangula.mean"	"Geraniaceae.mean"	"Ilex.mean"	"Juglans.mean"	"Liliaceae.mean"	"Olea.mean"	"Onagraceae.mean"	"Orobanchaceae.mean"	"Ostrya.Carpinus.mean"	"Pinus.mean"	"Pistacia.mean"	"Plantaginaceae.mean"	"Poaceae.mean"	"Polygonaceae.mean"	"Quercus.mean"	"Ranunculaceae.mean"	"Rhamnus.mean"	"Rosaceae.mean"	"Rubiaceae.mean"	"Rumex.mean"	"Salix.mean"	"Tilia.mean"	"Ulmus.mean"	"Urticaceae.mean"	"Abies.median"	"Acer.median"	"Alnus.median"	"Amaranthaceae.median"	"Apiaceae.median"	"Artemisia.median"	"Asteraceae.median"	"Betula.median"	"Boraginaceae.median"	"Brassicaceae.median"	"Buxus.median"	"Campanulaceae.median"	"Caprifoliaceae.median"	"Caryophyllaceae.median"	"Castanea.median"	"Cistaceae.median"	"Corylus.median"	"Cupressaceae.median"	"Cyperaceae.median"	"Ericales.median"	"Fabaceae.median"	"Fagus.median"	"Frangula.median"	"Geraniaceae.median"	"Ilex.median"	"Juglans.median"	"Liliaceae.median"	"Olea.median"	"Onagraceae.median"	"Orobanchaceae.median"	"Ostrya.Carpinus.median"	"Pinus.median"	"Pistacia.median"	"Plantaginaceae.median"	"Poaceae.median"	"Polygonaceae.median"	"Quercus.median"	"Ranunculaceae.median"	"Rhamnus.median"	"Rosaceae.median"	"Rubiaceae.median"	"Rumex.median"	"Salix.median"	"Tilia.median"	"Ulmus.median"	"Urticaceae.median"	"Abies.q90"	"Acer.q90"	"Alnus.q90"	"Amaranthaceae.q90"	"Apiaceae.q90"	"Artemisia.q90"	"Asteraceae.q90"	"Betula.q90"	"Boraginaceae.q90"	"Brassicaceae.q90"	"Buxus.q90"	"Campanulaceae.q90"	"Caprifoliaceae.q90"	"Caryophyllaceae.q90"	"Castanea.q90"	"Cistaceae.q90"	"Corylus.q90"	"Cupressaceae.q90"	"Cyperaceae.q90"	"Ericales.q90"	"Fabaceae.q90"	"Fagus.q90"	"Frangula.q90"	"Geraniaceae.q90"	"Ilex.q90"	"Juglans.q90"	"Liliaceae.q90"	"Olea.q90"	"Onagraceae.q90"	"Orobanchaceae.q90"	"Ostrya.Carpinus.q90"	"Pinus.q90"	"Pistacia.q90"	"Plantaginaceae.q90"	"Poaceae.q90"	"Polygonaceae.q90"	"Quercus.q90"	"Ranunculaceae.q90"	"Rhamnus.q90"	"Rosaceae.q90"	"Rubiaceae.q90"	"Rumex.q90"	"Salix.q90"	"Tilia.q90"	"Ulmus.q90"	"Urticaceae.q90"	"Abies.q10"	"Acer.q10"	"Alnus.q10"	"Amaranthaceae.q10"	"Apiaceae.q10"	"Artemisia.q10"	"Asteraceae.q10"	"Betula.q10"	"Boraginaceae.q10"	"Brassicaceae.q10"	"Buxus.q10"	"Campanulaceae.q10"	"Caprifoliaceae.q10"	"Caryophyllaceae.q10"	"Castanea.q10"	"Cistaceae.q10"	"Corylus.q10"	"Cupressaceae.q10"	"Cyperaceae.q10"	"Ericales.q10"	"Fabaceae.q10"	"Fagus.q10"	"Frangula.q10"	"Geraniaceae.q10"	"Ilex.q10"	"Juglans.q10"	"Liliaceae.q10"	"Olea.q10"	"Onagraceae.q10"	"Orobanchaceae.q10"	"Ostrya.Carpinus.q10"	"Pinus.q10"	"Pistacia.q10"	"Plantaginaceae.q10"	"Poaceae.q10"	"Polygonaceae.q10"	"Quercus.q10"	"Ranunculaceae.q10"	"Rhamnus.q10"	"Rosaceae.q10"	"Rubiaceae.q10"	"Rumex.q10"	"Salix.q10"	"Tilia.q10"	"Ulmus.q10"	"Urticaceae.q10"	"Abies.sd"	"Acer.sd"	"Alnus.sd"	"Amaranthaceae.sd"	"Apiaceae.sd"	"Artemisia.sd"	"Asteraceae.sd"	"Betula.sd"	"Boraginaceae.sd"	"Brassicaceae.sd"	"Buxus.sd"	"Campanulaceae.sd"	"Caprifoliaceae.sd"	"Caryophyllaceae.sd"	"Castanea.sd"	"Cistaceae.sd"	"Corylus.sd"	"Cupressaceae.sd"	"Cyperaceae.sd"	"Ericales.sd"	"Fabaceae.sd"	"Fagus.sd"	"Frangula.sd"	"Geraniaceae.sd"	"Ilex.sd"	"Juglans.sd"	"Liliaceae.sd"	"Olea.sd"	"Onagraceae.sd"	"Orobanchaceae.sd"	"Ostrya.Carpinus.sd"	"Pinus.sd"	"Pistacia.sd"	"Plantaginaceae.sd"	"Poaceae.sd"	"Polygonaceae.sd"	"Quercus.sd"	"Ranunculaceae.sd"	"Rhamnus.sd"	"Rosaceae.sd"	"Rubiaceae.sd"	"Rumex.sd"	"Salix.sd"	"Tilia.sd"	"Ulmus.sd"	"Urticaceae.sd"
24441	"Europe"	"1"	-25	"gpm unstable"	"peatland"	100	11.2837916709551	"CF_orig"	"FIXED_100"	68970.6379310345	14944395707.1041	81.1279977561334	4.81541286084539	3.5292485	0	0.300722	0	0	0.3846105	4.0209465	2.078528	0	0	0	0	0.9302395	0.159264	0.163164	0	6.433704	0	4.8894905	6.0498785	0	5.336652	0	0	0.475513	0	1.0090275	0	0.467282	4.3115375	0	2.6494205	0	2.299223	41.802502	0	3.1169335	0.4899545	0.4707035	6.3582385	0	0	1.0908235	0.968715	0.2136885	0	3.353	0	0.291	0	0	0.311	3.9085	2.046	0	0	0	0	0.827	0.149	0.158	0	6.3725	0	4.759	5.9535	0	5.2735	0	0	0.394	0	0.961	0	0.3945	4.085	0	2.6305	0	2.123	41.737	0	3.0715	0.461	0.401	6.256	0	0	1.047	0.9105	0.186	0	5.268	0	0.4631	0	0	0.7132	7.6609	2.7281	0	0	0	0	1.8222	0.3291	0.325	0	8.4842	0	7.5145	9.1138	0	6.899	0	0	1.1142	0	1.8022	0	1.1441	7.7231	0	3.2361	0	3.8362	46.6572	0	4.085	1.127	1.1296	8.8522	0	0	2.6033	1.9085	0.5172	0	1.9856	0	0.148	0	0	0.1009	0	1.478	0	0	0	0	0	0	0	0	4.4926	0	2.4858	3.051	0	3.7948	0	0	0	0	0.316	0	0	1.383	0	2.1089	0	0.9058	36.9531	0	2.1908	0	0	4.0519	0	0	0	0	0	0	1.38523934963444	0	0.125184021486841	0	0	0.360700031946593	2.68037765694121	0.47898165510692	0	0	0	0	0.713830041959675	0.155791356555454	0.118313351438307	0	1.60015096098242	0	1.94330827081744	2.35161553140421	0	1.23232834767128	0	0	0.547987254273695	0	0.595978980515553	0	0.540397290974007	2.48770811801424	0	0.451218212861093	0	1.23678515718516	3.71550908596385	0	0.727143299334205	0.488011122678243	0.512735626321206	1.89654926436775	0	0	1.12829959910496	0.694130213397728	0.225207383650215	0
24441	"Europe"	"2"	242	"gpm unstable"	"peatland"	100	11.2837916709551	"CF_orig"	"FIXED_100"	68970.6379310345	14944395707.1041	81.1279977561334	4.81541286084539	0.1992625	0	0.2002495	0.0150985	0.4214425	0.0979945	4.596589	0.645587	0	0	0.2647415	0	0.2619075	0	0.416223	0	0.908751	0.300383	4.5925515	15.2182555	0	0.444753	0	0	0	0.0909785	0	0	0	0	0	1.9407765	0	3.1818275	54.79071	0	0.5320355	0.83957	0	5.7415285	0	3.4951035	0	0.803663	0	0	0.18	0	0.195	0.014	0.3835	0.057	4.396	0.629	0	0	0.23	0	0.226	0	0.408	0	0.897	0.282	4.5285	15.201	0	0.433	0	0	0	0.088	0	0	0	0	0	1.927	0	2.919	54.793	0	0.513	0.7785	0	5.68	0	3.423	0	0.774	0	0	0.4842	0	0.304	0.033	0.7713	0.189	7.6047	0.902	0	0	0.6331	0	0.611	0	0.595	0	1.532	0.6662	6.5243	18.6246	0	0.807	0	0	0	0.193	0	0	0	0	0	2.3	0	4.8075	58.8471	0	0.8221	1.5142	0	7.6029	0	5.1299	0	1.4631	0	0	0	0	0.111	0	0.123	0	2.1484	0.4139	0	0	0	0	0	0	0.237	0	0.406	0	2.7788	11.8633	0	0.146	0	0	0	0	0	0	0	0	0	1.5957	0	1.7588	50.8203	0	0.264	0.262	0	3.8925	0	1.965	0	0.251	0	0	0.211025447431066	0	0.0747093166261436	0.0152610696831492	0.263799057362005	0.655212239666854	2.24417824026213	0.19075699606246	0	0	0.294075981710951	0	0.303137442587185	0	0.141417101756947	0	0.464118949406937	0.296646607794456	1.4285210605931	2.61318308373798	0	0.270881740709345	0	0	0	0.0890587377360221	0	0	0	0	0	0.279861227577349	0	1.45654968993281	3.18664823527601	0	0.220939125752761	0.500234752395065	0	1.46701512973902	0	1.23598136181381	0	0.494379555608342	0	0
24441	"Europe"	"3"	504	"gpm unstable"	"peatland"	100	11.2837916709551	"CF_orig"	"FIXED_100"	68970.6379310345	14944395707.1041	81.1279977561334	4.81541286084539	0.181637	0	0.0780435	0.0069295	0.378861	0.1442855	2.051439	1.127532	0.12282	4.794142	0.117345	0	0	0.1602745	0.18983	0	0.425931	0	9.5926615	40.287112	0	0.681549	0	0	0	0.0814835	0	0.9745645	0	0	0	0.4285365	0.1136525	1.5558855	26.958977	0	1.0104835	0.251095	0	4.639652	0	3.347057	0.298299	0	0	0	0.16	0	0.077	0.006	0.353	0.111	1.958	1.123	0.102	2.906	0.102	0	0	0.155	0.187	0	0.416	0	9.609	40.7005	0	0.6655	0	0	0	0.08	0	0.902	0	0	0	0.426	0.099	1.4415	27.1875	0	0.998	0.236	0	4.5935	0	3.3185	0.274	0	0	0	0.364	0	0.12	0.016	0.6171	0.249	3.4451	1.389	0.3041	10.2838	0.286	0	0	0.273	0.277	0	0.7221	0	11.5483	44.3787	0	0.9931	0	0	0	0.1621	0	1.5621	0	0	0	0.535	0.28	2.3612	29.9421	0	1.2982	0.491	0	5.923	0	4.5284	0.7121	0	0	0	0	0	0.039	0	0.175	0.04	0.912	0.867	0	0	0	0	0	0.074	0.106	0	0.1878	0	7.6113	36.1677	0	0.3978	0	0	0	0	0	0.463	0	0	0	0.324	0	0.8619	24.0825	0	0.7359	0	0	3.4498	0	2.2779	0	0	0	0	0.141217744836576	0	0.0322274248305012	0.0068517883250744	0.18131937303145	0.273401018740374	1.02848233199828	0.212457530054923	0.138904826681573	7.47333414899182	0.130371961706494	0	0	0.0799614786555651	0.0676682317989572	0	0.217571960551007	0	1.60800119553443	3.99719111763141	0	0.23710381420035	0	0	0	0.0601526050616085	0	0.483040545838765	0	0	0	0.0861937953273115	0.133020122237991	0.703027994869717	2.81534844928944	0	0.223453945054748	0.181529830922516	0	1.0097380830662	0	0.880110494763298	0.296854042856721	0	0	0
24441	"Europe"	"4"	768	"gpm unstable"	"peatland"	100	11.2837916709551	"CF_orig"	"FIXED_100"	68970.6379310345	14944395707.1041	81.1279977561334	4.81541286084539	0	0	0.173218	0	0.092701	0.1108675	19.004602	0.724859	0	3.224646	0	0	0	0	0.059698	0.1729525	1.6814	0	6.2095005	30.862469	0	4.43204	0.3528365	0	0	0	0.2505005	0	0	0	0	0.644856	0	0.8708955	19.212136	0	1.4712	3.8625725	0	2.6170475	0	2.0179335	1.699087	0	0.077913	0.174024	0	0	0.171	0	0.083	0.078	18.9895	0.714	0	1.8105	0	0	0	0	0.06	0.147	1.652	0	6.1925	30.877	0	4.417	0.3	0	0	0	0.237	0	0	0	0	0.638	0	0.789	19.1485	0	1.459	3.79	0	2.5435	0	1.946	1.5815	0	0.067	0.148	0	0	0.253	0	0.222	0.2131	23.6045	0.9531	0	7.7635	0	0	0	0	0.121	0.418	2.3421	0	8.0651	35.0538	0	5.413	0.6921	0	0	0	0.4961	0	0	0	0	0.8031	0	1.4281	21.9795	0	1.8861	5.1612	0	3.7132	0	3.0831	2.8871	0	0.1881	0.4181	0	0	0.097	0	0	0	14.5327	0.5139	0	0	0	0	0	0	0	0	1.0438	0	4.4457	26.7523	0	3.4669	0	0	0	0	0	0	0	0	0	0.4919	0	0.3809	16.7037	0	1.075	2.679	0	1.6589	0	1.0639	0.6178	0	0	0	0	0	0.0608223162422851	0	0.0967615832911001	0.215338634033477	3.53274569147799	0.178575969288714	0	5.8952020023073	0	0	0	0	0.0434639661579231	0.192039815895544	0.5161220950594	0	1.41390637937049	3.47463541032096	0	0.768483130954272	0.295836267750268	0	0	0	0.177565474540025	0	0	0	0	0.126508388853171	0	0.478971185227138	2.17473341267662	0	0.317204138107649	0.996717711210988	0	0.826826915150661	0	0.787619161809675	0.917382686193425	0	0.0907930014679423	0.190596744419971
24441	"Europe"	"5"	1040	"gpm unstable"	"peatland"	100	11.2837916709551	"CF_orig"	"FIXED_100"	68970.6379310345	14944395707.1041	81.1279977561334	4.81541286084539	0	0	0.3788835	0	0.675536	0.215737	8.258779	2.0134045	0.218222	0	0	0	0.6656665	0	0.1150495	0	0.928944	0	3.8274225	13.90134	0.5140975	6.9573745	0	0	0	0	0.1513	0	0	4.091915	0.2100275	0.1767685	0	0.886199	38.90321	0.216745	1.5267535	0.9140745	0	3.74101	0.3937055	2.8119605	6.786064	0	0.094068	0.4256895	0	0	0.371	0	0.628	0.146	8.2035	1.985	0.188	0	0	0	0.5895	0	0.112	0	0.91	0	3.779	13.777	0.4665	6.9095	0	0	0	0	0.147	0	0	3.911	0.182	0.171	0	0.795	38.924	0.184	1.5125	0.86	0	3.661	0.375	2.768	6.601	0	0.085	0.36	0	0	0.5041	0	1.0741	0.354	11.7079	2.4914	0.522	0	0	0	1.194	0	0.203	0	1.4752	0	5.3445	17.0213	1.2454	8.2914	0	0	0	0	0.338	0	0	6.3162	0.5001	0.266	0	1.5452	42.5373	0.5302	1.9851	1.5262	0	5.1171	0.7041	4.0792	9.3764	0	0.228	0.869	0	0	0.262	0	0.3109	0.045	4.8557	1.5657	0	0	0	0	0.195	0	0.037	0	0.3819	0	2.3434	10.9208	0	5.7056	0	0	0	0	0	0	0	2.0456	0	0.099	0	0.3059	35.3416	0	1.089	0.397	0	2.481	0.127	1.5378	4.3958	0	0	0	0	0	0.09632112856302	0	0.32155302031926	0.919501937321161	2.6862198805724	0.365099442181292	0.230893546100395	0	0	0	0.483829978403314	0	0.0663971109154529	0	0.428915337855297	0	1.175847033894	2.35473540569114	0.537390592882318	1.01051370065891	0	0	0	0	0.157799931588086	0	0	1.69690522465037	0.231578420899407	0.0638653137226965	0	0.548716142556013	2.81374587762149	0.240531812347921	0.348039751425087	0.456720842434092	0	1.04161675660188	0.230469255669068	0.994056104910384	2.03122249872427	0	0.0984359700317828	0.346159132715477
24441	"Europe"	"6"	1358	"gpm unstable"	"peatland"	100	11.2837916709551	"CF_orig"	"FIXED_100"	68970.6379310345	14944395707.1041	81.1279977561334	4.81541286084539	2.5490415	0	0.472784	0	0.105508	0.305557	0.8809145	0.9309565	0	3.441061	0	0	0	0	0	0	1.051056	0	6.2989875	41.6885215	0	11.4145505	0	0	0	0	0.2773035	0	0	0	0.620481	0.731679	0	0.588901	20.5659615	0	2.1900165	3.5270015	0	1.8156035	0.1245685	0.329779	0	0	0.0897225	0	2.385	0	0.468	0	0.092	0.227	0.835	0.92	0	2.094	0	0	0	0	0	0	1.029	0	6.2295	41.9845	0	11.434	0	0	0	0	0.27	0	0	0	0.5445	0.724	0	0.524	20.5545	0	2.176	3.46	0	1.7565	0.117	0.319	0	0	0.08	0	3.7046	0	0.617	0	0.253	0.519	1.9779	1.226	0	8.27290000000001	0	0	0	0	0	0	1.5881	0	8.2813	45.985	0	13.1484	0	0	0	0	0.5491	0	0	0	1.1471	0.916	0	1.0891	23.3473	0	2.735	4.7851	0	2.7581	0.278	0.7261	0	0	0.2141	0	1.5459	0	0.339	0	0	0.095	0	0.667	0	0	0	0	0	0	0	0	0.5289	0	4.4027	37.3286	0	9.6363	0	0	0	0	0	0	0	0	0.171	0.562	0	0.163	17.8873	0	1.6699	2.346	0	0.983	0	0	0	0	0	0	0.921650743950583	0	0.107955057738142	0	0.111262593077409	0.613280518399308	0.89185106623916	0.220335554293884	0	5.80658019285423	0	0	0	0	0	0	0.420625916872668	0	1.48731949257052	3.89955887983069	0	1.46774048268487	0	0	0	0	0.201835294561718	0	0	0	0.453855882654516	0.137980347322086	0	0.403783196324236	2.2955516955214	0	0.417892618202241	0.963151510362574	0	0.699964920358596	0.126563167728462	0.33844254436598	0	0	0.0937217390787109	0
24441	"Europe"	"7"	1674	"gpm unstable"	"peatland"	100	11.2837916709551	"CF_orig"	"FIXED_100"	68970.6379310345	14944395707.1041	81.1279977561334	4.81541286084539	3.95896	0	0.2155255	0	0	0.192676	2.8092115	1.2221345	0	5.703969	0	0	0.32589	0.1068765	0	0	3.1285025	0	15.00239	16.9276725	0	23.83729	0	0	0	0	0	0	0	0	0.686469	0.542951	0	1.6315915	12.806696	0	5.37367	2.0402355	0	1.118664	0	0.533915	1.54145	0	0.293257	0	3.7315	0	0.213	0	0	0.142	2.7055	1.206	0	3.429	0	0	0.277	0.105	0	0	3.0805	0	15.012	17.06	0	23.992	0	0	0	0	0	0	0	0	0.548	0.535	0	1.483	12.8435	0	5.371	1.948	0	1.044	0	0.525	1.4385	0	0.259	0	5.8812	0	0.3381	0	0	0.3911	5.6091	1.636	0	13.6862	0	0	0.7712	0.232	0	0	4.4163	0	18.8339	21.1911	0	27.5834	0	0	0	0	0	0	0	0	1.2963	0.743	0	2.7782	15.6983	0	6.5775	3.184	0	2.0182	0	1.193	3.062	0	0.6051	0	2.381	0	0.105	0	0	0	0	0.817	0	0	0	0	0	0	0	0	1.9499	0	11.2243	12.4963	0	20.1132	0	0	0	0	0	0	0	0	0	0.361	0	0.625	9.9997	0	4.1857	0.973	0	0.3499	0	0	0	0	0	0	1.44048976767813	0	0.0921220635192434	0	0	0.250682140951237	2.02380971626573	0.324840451713275	0	9.03977156282132	0	0	0.355450162904949	0.106623287843253	0	0	0.978538516261702	0	3.09074503709739	3.46782239919231	0	3.27850348046723	0	0	0	0	0	0	0	0	1.96906309034675	0.148567320509464	0	0.957138937197887	2.33571375664067	0	0.979589877072866	0.878053534839859	0	0.679498870095625	0	0.535471625490887	1.14360488306245	0	0.229651740494071	0
24441	"Europe"	"8"	1990	"gpm unstable"	"peatland"	100	11.2837916709551	"CF_orig"	"FIXED_100"	68970.6379310345	14944395707.1041	81.1279977561334	4.81541286084539	5.55674	1.769596	0.523472	0.031615	0	0.1919515	1.221343	2.920805	0	0	0	0	5.414669	0	0	0.305328	5.4464015	0	11.482093	5.481101	0	19.3931545	0	0	0	0	0.1975575	0.2836305	0	3.488092	0.277658	0.5146165	0	0.846122	20.242493	1.4267015	5.320528	1.7525205	0	3.216618	0	0	2.695218	0	0	0	5.2885	1.582	0.5155	0.0295	0	0.12	1.181	2.8715	0	0	0	0	5.028	0	0	0.251	5.423	0	11.4175	5.389	0	19.348	0	0	0	0	0.192	0.238	0	3.308	0.242	0.5065	0	0.7715	20.261	1.2735	5.293	1.684	0	3.1575	0	0	2.544	0	0	0	7.7458	4.1242	0.699	0.063	0	0.317	2.7262	3.5704	0	0	0	0	8.0288	0	0	0.6903	6.935	0	14.2683	7.7701	0	21.9551	0	0	0	0	0.432	0.706	0	5.8323	0.668	0.6841	0	1.565	22.9875	2.3701	6.3273	2.7731	0	4.5934	0	0	4.6141	0	0	0	3.6269	0	0.359	0	0	0	0	2.3179	0	0	0	0	3.2839	0	0	0	3.9709	0	8.7349	3.2288	0	16.7888	0	0	0	0	0	0	0	1.4724	0	0.362	0	0.232	17.4365	0.5599	4.3689	0.8239	0	1.9138	0	0	1.0945	0	0	0	1.70743574104705	1.82719993667587	0.134694318721125	0.0234373298226271	0	0.785454713335594	1.22603098506488	0.492084632576358	0	0	0	0	2.17847059137776	0	0	0.360335395450693	1.15232140811996	0	2.20809041368067	1.75177638385969	0	2.0294571137913	0	0	0	0	0.199801754407418	0.312041869039664	0	1.72563971029322	0.303034854591924	0.125652225084096	0	0.578831052043172	2.21565162943602	0.961346363603231	0.76256080722022	0.755786025828851	0	1.04977842206997	0	0	1.40707114783992	0	0	0
24441	"Europe"	"9"	2305	"gpm unstable"	"peatland"	100	11.2837916709551	"CF_orig"	"FIXED_100"	68970.6379310345	14944395707.1041	81.1279977561334	4.81541286084539	2.9715895	0	0.2578275	0	0.571471	0.087085	0	2.3649945	0	9.228482	0.2633825	0	0.5337535	0	0	0	1.8050265	0	15.764578	8.9590655	0	22.6694205	1.0740045	0	0	0	0	0	0	4.9482595	0	0.578426	0	1.3338115	11.639936	0.27372	6.1992995	3.2826365	0	3.019311	0	0.87869	1.2952455	0	0	0	2.8085	0	0.253	0	0.53	0.056	0	2.357	0	6.392	0.228	0	0.456	0	0	0	1.7765	0	15.8685	8.85	0	22.994	0.943	0	0	0	0	0	0	4.708	0	0.573	0	1.207	11.7595	0.228	6.234	3.1635	0	2.9475	0	0.855	1.156	0	0	0	4.3663	0	0.378	0	0.9672	0.182	0	2.9941	0	19.5788	0.6261	0	1.0762	0	0	0	2.6905	0	19.3947	12.1362	0	26.2559	1.8457	0	0	0	0	0	0	7.7872	0	0.769	0	2.2281	14.1336	0.669	7.4541	4.7421	0	4.439	0	1.7801	2.5871	0	0	0	1.7598	0	0.145	0	0.211	0	0	1.7868	0	0	0	0	0	0	0	0	0.9629	0	12.0915	5.9972	0	19.1239	0.3598	0	0	0	0	0	0	2.4404	0	0.4039	0	0.539	9.1435	0	4.998	2.009	0	1.6948	0	0	0	0	0	0	1.09140557358517	0	0.092687357373368	0	0.318173468939773	0.371518440660589	0	0.501011497602715	0	10.8643077455064	0.297404502172893	0	0.473647672639324	0	0	0	0.677126974257697	0	3.09303705684777	2.3834056097022	0	3.38649553590243	1.17414594102486	0	0	0	0	0	0	2.0929585310909	0	0.147997852032058	0	0.768170764953871	2.16464409590467	0.302442204798903	1.07834635726786	1.09603033745333	0	1.08222272628773	0	0.64729231462322	0.95561092362343	0	0	0
24441	"Europe"	"10"	2619	"gpm unstable"	"peatland"	100	11.2837916709551	"CF_orig"	"FIXED_100"	68970.6379310345	14944395707.1041	81.1279977561334	4.81541286084539	7.0906255	0	0.5314055	0	0.3616495	0.1089395	6.1002775	12.299125	0	0	0	0	1.044315	0	0	0	5.421964	0	3.0545245	0	0	22.5359375	0.7291005	0.343948	0	0	10.517481	0.3402485	0	6.474161	0	0.7929465	0	0	10.191342	0	3.826447	3.249899	0	1.5984245	0	0	3.233405	0	0.153839	0	6.6885	0	0.5225	0	0.3265	0.072	5.8905	12.2305	0	0	0	0	0.94	0	0	0	5.3525	0	3.0035	0	0	22.4505	0.6135	0.287	0	0	10.4425	0.294	0	6.2465	0	0.784	0	0	10.0975	0	3.771	3.1375	0	1.526	0	0	3.017	0	0.136	0	9.7509	0	0.723	0	0.737	0.2601	9.959	14.1861	0	0	0	0	1.9381	0	0	0	7.0405	0	4.8336	0	0	25.562	1.4444	0.8261	0	0	12.7897	0.8011	0	9.9816	0	1.0262	0	0	12.5898	0	4.787	4.7561	0	2.619	0	0	5.4891	0	0.3751	0	4.6964	0	0.35	0	0	0	2.7196	10.4843	0	0	0	0	0.2799	0	0	0	3.8325	0	1.2809	0	0	19.7128	0	0	0	0	8.4037	0	0	3.2713	0	0.5759	0	0	7.9589	0	2.9218	1.8646	0	0.6869	0	0	1.2721	0	0	0	2.41236347220123	0	0.147905185986736	0	0.277952493142213	0.211337191577872	2.96861636677094	1.49322325096203	0	0	0	0	0.72742341327874	0	0	0	1.2494502549817	0	1.35809531065981	0	0	2.30925104672319	0.638087987302315	0.403494631010906	0	0	1.72624489379569	0.388722667725915	0	2.66586324095756	0	0.177572417958307	0	0	1.80749274495018	0	0.724413695199018	1.1703368096078	0	0.806471027414364	0	0	1.68572976879502	0	0.16229967859437	0
