"Dataset_ID"	"Continent"	"Sample_ID"	"Age_BP"	"Distance_weighting"	"Basin_type"	"Basin_Area"	"Basin_Diameter"	"RPP_Set"	"Basin_Source"	"Pollen_Source_Radius"	"Pollen_Source_Area"	"Median_rel_influx_at_PSR"	"Std_rel_influx_at_PSR"	"Alnus.mean"	"Amaranthaceae.mean"	"Apiaceae.mean"	"Artemisia.mean"	"Asteraceae.mean"	"Betula.mean"	"Brassicaceae.mean"	"Caryophyllaceae.mean"	"Corylus.mean"	"Cyperaceae.mean"	"Elaeagnaceae.mean"	"Ericales.mean"	"Juniperus.mean"	"Ostrya.Carpinus.mean"	"Picea.mean"	"Pinus.mean"	"Poaceae.mean"	"Quercus.mean"	"Ranunculaceae.mean"	"Rosaceae.mean"	"Rubiaceae.mean"	"Rumex.mean"	"Salix.mean"	"Thalictrum.mean"	"Tilia.mean"	"Ulmus.mean"	"Alnus.median"	"Amaranthaceae.median"	"Apiaceae.median"	"Artemisia.median"	"Asteraceae.median"	"Betula.median"	"Brassicaceae.median"	"Caryophyllaceae.median"	"Corylus.median"	"Cyperaceae.median"	"Elaeagnaceae.median"	"Ericales.median"	"Juniperus.median"	"Ostrya.Carpinus.median"	"Picea.median"	"Pinus.median"	"Poaceae.median"	"Quercus.median"	"Ranunculaceae.median"	"Rosaceae.median"	"Rubiaceae.median"	"Rumex.median"	"Salix.median"	"Thalictrum.median"	"Tilia.median"	"Ulmus.median"	"Alnus.q90"	"Amaranthaceae.q90"	"Apiaceae.q90"	"Artemisia.q90"	"Asteraceae.q90"	"Betula.q90"	"Brassicaceae.q90"	"Caryophyllaceae.q90"	"Corylus.q90"	"Cyperaceae.q90"	"Elaeagnaceae.q90"	"Ericales.q90"	"Juniperus.q90"	"Ostrya.Carpinus.q90"	"Picea.q90"	"Pinus.q90"	"Poaceae.q90"	"Quercus.q90"	"Ranunculaceae.q90"	"Rosaceae.q90"	"Rubiaceae.q90"	"Rumex.q90"	"Salix.q90"	"Thalictrum.q90"	"Tilia.q90"	"Ulmus.q90"	"Alnus.q10"	"Amaranthaceae.q10"	"Apiaceae.q10"	"Artemisia.q10"	"Asteraceae.q10"	"Betula.q10"	"Brassicaceae.q10"	"Caryophyllaceae.q10"	"Corylus.q10"	"Cyperaceae.q10"	"Elaeagnaceae.q10"	"Ericales.q10"	"Juniperus.q10"	"Ostrya.Carpinus.q10"	"Picea.q10"	"Pinus.q10"	"Poaceae.q10"	"Quercus.q10"	"Ranunculaceae.q10"	"Rosaceae.q10"	"Rubiaceae.q10"	"Rumex.q10"	"Salix.q10"	"Thalictrum.q10"	"Tilia.q10"	"Ulmus.q10"	"Alnus.sd"	"Amaranthaceae.sd"	"Apiaceae.sd"	"Artemisia.sd"	"Asteraceae.sd"	"Betula.sd"	"Brassicaceae.sd"	"Caryophyllaceae.sd"	"Corylus.sd"	"Cyperaceae.sd"	"Elaeagnaceae.sd"	"Ericales.sd"	"Juniperus.sd"	"Ostrya.Carpinus.sd"	"Picea.sd"	"Pinus.sd"	"Poaceae.sd"	"Quercus.sd"	"Ranunculaceae.sd"	"Rosaceae.sd"	"Rubiaceae.sd"	"Rumex.sd"	"Salix.sd"	"Thalictrum.sd"	"Tilia.sd"	"Ulmus.sd"
4257	"Europe"	"1"	258	"gpm unstable"	"lake"	168082.5451	462.611438683753	"CF_orig"	"GIS"	138130.172413793	59941413569.6921	80.1496551379049	3.8517125554453	0.2609075	0	0	0.1403125	0	17.669756	0	0	0	36.724682	0	19.266939	0.4674655	0	4.8140545	4.4797825	8.4321345	0	0	1.5654405	0	3.7768225	2.401721	0	0	0	0.254	0	0	0.094	0	17.5355	0	0	0	36.687	0	19.1395	0.444	0	4.7155	4.415	8.37	0	0	1.491	0	3.6425	2.212	0	0	0	0.414	0	0	0.316	0	20.5588	0	0	0	42.4649	0	24.5207	0.7241	0	6.8392	5.3671	11.223	0	0	2.7705	0	5.9466	4.6687	0	0	0	0.109	0	0	0	0	14.8859	0	0	0	31.0704	0	14.4339	0.2469	0	2.8988	3.6719	5.8207	0	0	0.4919	0	1.5876	0	0	0	0	0.117597872317218	0	0	0.356938200930346	0	2.24895203129892	0	0	0	4.41358882623195	0	3.90749453231083	0.1907535773541	0	1.53798173573013	0.664356201728514	2.06374065016545	0	0	0.915468412162093	0	1.710222362226	1.71408796125767	0	0	0
4257	"Europe"	"2"	505	"gpm unstable"	"lake"	168082.5451	462.611438683753	"CF_orig"	"GIS"	138130.172413793	59941413569.6921	80.1496551379049	3.8517125554453	0.0568045	0.0286515	0.322636	0	7.3835535	20.178933	0	0	0	35.141536	0	11.8056035	0.3912475	0	6.5097335	7.000971	4.4522035	0	0	0	0	0	6.7281165	0	0	0	0.055	0.027	0.2865	0	7.096	20.0285	0	0	0	35.1125	0	11.673	0.369	0	6.357	6.8835	4.3715	0	0	0	0	0	6.4725	0	0	0	0.127	0.066	0.7541	0	12.9298	23.6507	0	0	0	41.0965	0	16.1971	0.621	0	9.059	8.3919	6.5214	0	0	0	0	0	10.7624	0	0	0	0	0	0	0	2.457	16.9186	0	0	0	29.1363	0	7.5164	0.1789	0	4.151	5.7768	2.4518	0	0	0	0	0	3.0739	0	0	0	0.0571961972708074	0.0287683655632118	0.329459893484332	0	4.05349127221025	2.65608282014789	0	0	0	4.73051654484947	0	3.41114430111206	0.184674737371037	0	1.96480654362069	1.04991007269164	1.58677859616406	0	0	0	0	0	2.99422040067722	0	0	0
4257	"Europe"	"3"	743	"gpm unstable"	"lake"	168082.5451	462.611438683753	"CF_orig"	"GIS"	138130.172413793	59941413569.6921	80.1496551379049	3.8517125554453	0.1861665	0	0	0	7.7572565	16.0942315	0	0	0	26.698873	0	20.4162315	0.370701	0	8.2728785	7.4094065	7.7577275	0	0	0.4615775	0	1.3617445	3.2131735	0	0	0	0.181	0	0	0	7.542	16.0055	0	0	0	26.723	0	20.2805	0.352	0	8.171	7.352	7.701	0	0	0.441	0	1.3235	2.958	0	0	0	0.314	0	0	0	12.357	18.8571	0	0	0	31.7526	0	25.4972	0.581	0	10.8764	8.671	10.1723	0	0	1.066	0	2.6721	5.8064	0	0	0	0.0789	0	0	0	3.6118	13.4699	0	0	0	21.591	0	15.5997	0.186	0	5.8448	6.1839	5.4273	0	0	0	0	0	1.0198	0	0	0	0.0965855121554427	0	0	0	3.62403564495242	2.10089823637594	0	0	0	4.01726421844162	0	3.86890180251276	0.161408119031989	0	2.02497787084858	0.963656655833869	1.85595299752129	0	0	0.472649432176342	0	0.978991292195619	1.94134390036065	0	0	0
4257	"Europe"	"4"	978	"gpm unstable"	"lake"	168082.5451	462.611438683753	"CF_orig"	"GIS"	138130.172413793	59941413569.6921	80.1496551379049	3.8517125554453	0.2029455	0.0651885	0	0	5.472925	22.8561265	0	0	0	31.7970065	0	14.9114685	0.217644	0	7.37197	8.117046	2.528463	0	0	0	0	1.95891	4.500286	0	0	0	0.194	0.061	0	0	5.3415	22.781	0	0	0	31.8515	0	14.7795	0.196	0	7.2515	8.0595	2.453	0	0	0	0	1.893	4.1955	0	0	0	0.36	0.127	0	0	10.5979	26.8001	0	0	0	38.1107	0	20.4669	0.3921	0	10.2276	9.6221	4.1731	0	0	0	0	3.8401	7.9761	0	0	0	0.062	0	0	0	0	19.0746	0	0	0	25.3195	0	9.4687	0.066	0	4.6959	6.6549	1.1587	0	0	0	0	0	1.4059	0	0	0	0.121346693567521	0.0476426161874912	0	0	3.74737785067811	2.97291829657271	0	0	0	4.98213128676243	0	4.15211359209362	0.137329694481905	0	2.15883874165168	1.17547030464515	1.24200592147763	0	0	0	0	1.37988847955478	2.67661206477081	0	0	0
4257	"Europe"	"5"	1216	"gpm unstable"	"lake"	168082.5451	462.611438683753	"CF_orig"	"GIS"	138130.172413793	59941413569.6921	80.1496551379049	3.8517125554453	0.408838	0	0	0.2188885	1.6925255	18.559044	0	0	0	35.7034825	0	20.3069625	0.506568	0	5.754556	8.1484025	3.916816	0	0	0	0	0	4.7838545	0	0	0	0.397	0	0	0.168	1.6565	18.428	0	0	0	35.676	0	20.2565	0.485	0	5.641	8.1005	3.857	0	0	0	0	0	4.6115	0	0	0	0.586	0	0	0.4231	3.857	21.374	0	0	0	40.8528	0	25.0404	0.742	0	7.8141	9.4124	5.5767	0	0	0	0	0	7.6217	0	0	0	0.242	0	0	0	0	15.9906	0	0	0	30.5195	0	15.6948	0.2979	0	3.8958	6.925	2.3609	0	0	0	0	0	2.1995	0	0	0	0.136501601087862	0	0	0.300400211736536	1.69841056449038	2.12763705193729	0	0	0	4.02296660896684	0	3.62361835477804	0.180024756165412	0	1.52995859993752	0.981508196941871	1.24945571787858	0	0	0	0	0	2.16851729390308	0	0	0
4257	"Europe"	"6"	1461	"gpm unstable"	"lake"	168082.5451	462.611438683753	"CF_orig"	"GIS"	138130.172413793	59941413569.6921	80.1496551379049	3.8517125554453	0.413114	0	0	0.113301	3.4359195	21.0930845	0	0	0	38.7064345	0	12.6865135	0.425286	0	2.706643	9.58986	4.7819325	0	0.3699455	0.393712	0.226632	1.1894435	3.783221	0.0849745	0	0	0.405	0	0	0.074	3.371	20.915	0	0	0	38.574	0	12.681	0.407	0	2.634	9.53	4.7145	0	0.3545	0.377	0.217	1.1615	3.653	0.0805	0	0	0.591	0	0	0.2591	6.6353	24.0691	0	0	0	44.1021	0	16.507	0.6322	0	4.0811	11.0952	6.5065	0	0.8711	0.936	0.5142	2.379	6.3628	0.19	0	0	0.2389	0	0	0	0	18.2207	0	0	0	33.4923	0	8.8237	0.234	0	1.4207	8.17	3.0726	0	0	0	0	0	1.4957	0	0	0	0.136673358074658	0	0	0.217011620473905	2.37660500413775	2.30709595882819	0	0	0	4.16980594050856	0	3.00899809481246	0.161859038605167	0	1.05484710823981	1.13914272392564	1.36782015664861	0	0.374544441019887	0.415639366635968	0.231335286074761	0.87029747135797	1.90145359792226	0.0878886287029081	0	0
4257	"Europe"	"7"	1707	"gpm unstable"	"lake"	168082.5451	462.611438683753	"CF_orig"	"GIS"	138130.172413793	59941413569.6921	80.1496551379049	3.8517125554453	0.421351	0	0	0.143478	0	27.57416	0	0	0	43.6709555	0	8.608502	0.4068925	0	0.557375	7.5173925	5.7019305	0	0	0	0	0	5.3979545	0	0	0	0.4105	0	0	0.107	0	27.4205	0	0	0	43.532	0	8.5155	0.383	0	0.528	7.449	5.655	0	0	0	0	0	5.153	0	0	0	0.634	0	0	0.3391	0	31.7219	0	0	0	49.5994	0	12.6477	0.65	0	1.2431	8.8783	7.9347	0	0	0	0	0	9.0756	0	0	0	0.221	0	0	0	0	23.6268	0	0	0	37.709	0	4.8673	0.1879	0	0	6.2278	3.4369	0	0	0	0	0	2.0288	0	0	0	0.166556474892645	0	0	0.198239085155884	0	3.15290672805554	0	0	0	4.59089213561157	0	3.04699239732079	0.186272643435896	0	0.562940695356309	1.03786477350751	1.76976956404631	0	0	0	0	0	2.7971223845672	0	0	0
4257	"Europe"	"8"	1949	"gpm unstable"	"lake"	168082.5451	462.611438683753	"CF_orig"	"GIS"	138130.172413793	59941413569.6921	80.1496551379049	3.8517125554453	0.358083	0	0	0	0	24.2046965	0	0	0	31.444419	0	18.3877685	0.6773695	0	7.1583045	11.1716935	4.6439265	0	0	0.5986765	0	0	1.355059	0	0	0	0.345	0	0	0	0	24.112	0	0	0	31.563	0	18.327	0.648	0	6.982	11.079	4.5495	0	0	0.561	0	0	1.279	0	0	0	0.5631	0	0	0	0	28.0724	0	0	0	36.9947	0	23.7611	1.0111	0	10.0061	12.9787	6.7637	0	0	1.426	0	0	3.2543	0	0	0	0.1759	0	0	0	0	20.5161	0	0	0	25.7938	0	13.1368	0.3829	0	4.6016	9.4757	2.5883	0	0	0	0	0	0	0	0	0	0.149368485910823	0	0	0	0	2.91510490800933	0	0	0	4.32792241724177	0	4.15442096960625	0.251314306019285	0	2.08481091398076	1.39521587692707	1.6419212907019	0	0	0.619558170805015	0	0	1.39301814679409	0	0	0
4257	"Europe"	"9"	2191	"gpm unstable"	"lake"	168082.5451	462.611438683753	"CF_orig"	"GIS"	138130.172413793	59941413569.6921	80.1496551379049	3.8517125554453	0.50628	0.0217125	0	0.1570655	1.8627685	18.3652355	0	0	0	30.948018	0	21.622018	0.3565055	0	6.8196195	13.261747	3.038041	0	0	0.4481805	0	0	2.044785	0.0928045	0.45524	0	0.498	0.021	0	0.086	1.836	18.224	0	0	0	30.9445	0	21.4995	0.341	0	6.705	13.135	2.9465	0	0	0.421	0	0	1.895	0.09	0.431	0	0.714	0.051	0	0.278	4.2784	21.2612	0	0	0	35.9492	0	26.4738	0.548	0	9.1841	15.243	4.6265	0	0	1.033	0	0	4.1012	0.207	1.0381	0	0.311	0	0	0	0	15.6837	0	0	0	25.8003	0	16.8146	0.1839	0	4.5282	11.4014	1.5731	0	0	0	0	0	0	0	0	0	0.156466125484758	0.0216412341435887	0	1.54643293505443	1.87840521399983	2.19509470807719	0	0	0	3.91591977733549	0	3.8598916030466	0.14833624233526	0	1.81197212097851	1.52770266731156	1.1710375189354	0	0	0.460350999174511	0	0	1.49881444386674	0.0942427085975987	0.461226444728247	0
4257	"Europe"	"10"	2431	"gpm unstable"	"lake"	168082.5451	462.611438683753	"CF_orig"	"GIS"	138130.172413793	59941413569.6921	80.1496551379049	3.8517125554453	0.274268	0	0	0	1.993118	22.335388	0	0	0	29.646751	0	26.3775295	0.261382	0	3.413305	11.2137545	1.315072	0	0	0	0	0	3.1694305	0	0	0	0.266	0	0	0	1.8875	22.184	0	0	0	29.5005	0	26.321	0.247	0	3.34	11.1245	1.2725	0	0	0	0	0	2.9435	0	0	0	0.426	0	0	0	4.4242	25.5691	0	0	0	35.0417	0	31.6884	0.423	0	5.0103	12.9536	2.3021	0	0	0	0	0	5.5704	0	0	0	0.1339	0	0	0	0	19.1037	0	0	0	24.5113	0	21.1252	0.11	0	1.8804	9.5508	0.433	0	0	0	0	0	1.0039	0	0	0	0.115501673123151	0	0	0	1.94004706705461	2.58718501186112	0	0	0	4.0589502358994	0	4.05043065146917	0.12634539823764	0	1.23785996163432	1.33262354886564	0.761556357638047	0	0	0	0	0	1.87888345399245	0	0	0
