"Dataset_ID"	"Continent"	"Sample_ID"	"Age_BP"	"Distance_weighting"	"Basin_type"	"Basin_Area"	"Basin_Diameter"	"RPP_Set"	"Basin_Source"	"Pollen_Source_Radius"	"Pollen_Source_Area"	"Median_rel_influx_at_PSR"	"Std_rel_influx_at_PSR"	"Alnus.mean"	"Amaranthaceae.mean"	"Apiaceae.mean"	"Artemisia.mean"	"Asteraceae.mean"	"Betula.mean"	"Brassicaceae.mean"	"Caryophyllaceae.mean"	"Cistaceae.mean"	"Corylus.mean"	"Cyperaceae.mean"	"Elaeagnaceae.mean"	"Ericales.mean"	"Fabaceae.mean"	"Juniperus.mean"	"Onagraceae.mean"	"Ostrya.Carpinus.mean"	"Picea.mean"	"Pinus.mean"	"Plantaginaceae.mean"	"Poaceae.mean"	"Polygonaceae.mean"	"Populus.mean"	"Quercus.mean"	"Ranunculaceae.mean"	"Rosaceae.mean"	"Rubiaceae.mean"	"Rumex.mean"	"Salix.mean"	"Saxifragaceae.mean"	"Thalictrum.mean"	"Tilia.mean"	"Ulmus.mean"	"Alnus.median"	"Amaranthaceae.median"	"Apiaceae.median"	"Artemisia.median"	"Asteraceae.median"	"Betula.median"	"Brassicaceae.median"	"Caryophyllaceae.median"	"Cistaceae.median"	"Corylus.median"	"Cyperaceae.median"	"Elaeagnaceae.median"	"Ericales.median"	"Fabaceae.median"	"Juniperus.median"	"Onagraceae.median"	"Ostrya.Carpinus.median"	"Picea.median"	"Pinus.median"	"Plantaginaceae.median"	"Poaceae.median"	"Polygonaceae.median"	"Populus.median"	"Quercus.median"	"Ranunculaceae.median"	"Rosaceae.median"	"Rubiaceae.median"	"Rumex.median"	"Salix.median"	"Saxifragaceae.median"	"Thalictrum.median"	"Tilia.median"	"Ulmus.median"	"Alnus.q90"	"Amaranthaceae.q90"	"Apiaceae.q90"	"Artemisia.q90"	"Asteraceae.q90"	"Betula.q90"	"Brassicaceae.q90"	"Caryophyllaceae.q90"	"Cistaceae.q90"	"Corylus.q90"	"Cyperaceae.q90"	"Elaeagnaceae.q90"	"Ericales.q90"	"Fabaceae.q90"	"Juniperus.q90"	"Onagraceae.q90"	"Ostrya.Carpinus.q90"	"Picea.q90"	"Pinus.q90"	"Plantaginaceae.q90"	"Poaceae.q90"	"Polygonaceae.q90"	"Populus.q90"	"Quercus.q90"	"Ranunculaceae.q90"	"Rosaceae.q90"	"Rubiaceae.q90"	"Rumex.q90"	"Salix.q90"	"Saxifragaceae.q90"	"Thalictrum.q90"	"Tilia.q90"	"Ulmus.q90"	"Alnus.q10"	"Amaranthaceae.q10"	"Apiaceae.q10"	"Artemisia.q10"	"Asteraceae.q10"	"Betula.q10"	"Brassicaceae.q10"	"Caryophyllaceae.q10"	"Cistaceae.q10"	"Corylus.q10"	"Cyperaceae.q10"	"Elaeagnaceae.q10"	"Ericales.q10"	"Fabaceae.q10"	"Juniperus.q10"	"Onagraceae.q10"	"Ostrya.Carpinus.q10"	"Picea.q10"	"Pinus.q10"	"Plantaginaceae.q10"	"Poaceae.q10"	"Polygonaceae.q10"	"Populus.q10"	"Quercus.q10"	"Ranunculaceae.q10"	"Rosaceae.q10"	"Rubiaceae.q10"	"Rumex.q10"	"Salix.q10"	"Saxifragaceae.q10"	"Thalictrum.q10"	"Tilia.q10"	"Ulmus.q10"	"Alnus.sd"	"Amaranthaceae.sd"	"Apiaceae.sd"	"Artemisia.sd"	"Asteraceae.sd"	"Betula.sd"	"Brassicaceae.sd"	"Caryophyllaceae.sd"	"Cistaceae.sd"	"Corylus.sd"	"Cyperaceae.sd"	"Elaeagnaceae.sd"	"Ericales.sd"	"Fabaceae.sd"	"Juniperus.sd"	"Onagraceae.sd"	"Ostrya.Carpinus.sd"	"Picea.sd"	"Pinus.sd"	"Plantaginaceae.sd"	"Poaceae.sd"	"Polygonaceae.sd"	"Populus.sd"	"Quercus.sd"	"Ranunculaceae.sd"	"Rosaceae.sd"	"Rubiaceae.sd"	"Rumex.sd"	"Salix.sd"	"Saxifragaceae.sd"	"Thalictrum.sd"	"Tilia.sd"	"Ulmus.sd"
4449	"Europe"	"1"	11080	"gpm unstable"	"lake"	387322.4624	702.249439794635	"CF_orig"	"GIS"	138233.620689655	60031229686.4643	80.2395928632836	3.47827330298308	0	0.0211195	0	0.440395	1.77103	30.8123165	0	0	0	0	4.485043	0	1.7853565	0	1.084521	0	0	0	1.4391595	0	9.8290435	0	0.191965	0	0.3900055	1.304393	0.230115	1.246854	43.6258725	0	0	0	1.342806	0	0.02	0	0.34	1.745	30.8025	0	0	0	0	4.3795	0	1.724	0	1.0395	0	0	0	1.413	0	9.729	0	0.096	0	0.374	1.2265	0.225	1.208	43.609	0	0	0	1.2485	0	0.049	0	0.786	4.1496	35.7715	0	0	0	0	6.8623	0	3.5184	0	1.528	0	0	0	1.8391	0	12.6861	0	0.3541	0	0.8931	2.3702	0.5381	2.4351	50.966	0	0	0	2.1303	0	0	0	0.126	0	25.9169	0	0	0	0	2.2848	0	0	0	0.7037	0	0	0	1.065	0	7.1225	0	0	0	0	0.401	0	0	36.5197	0	0	0	0.6267	0	0.0213787217724145	0	0.511059714701712	1.80787418357357	3.90264218925543	0	0	0	0	1.79819684269925	0	1.26226759054601	0	0.336852453377845	0	0	0	0.31137849691962	0	2.14639083962496	0	1.43495537639368	0	0.39059100749674	0.791648647027942	0.230247740023421	0.893327899515081	5.72240941824497	0	0	0	0.690775535021248
4449	"Europe"	"2"	11268	"gpm unstable"	"lake"	387322.4624	702.249439794635	"CF_orig"	"GIS"	138233.620689655	60031229686.4643	80.2395928632836	3.47827330298308	0	0.0272865	0.1553195	0.6939615	1.1912875	17.962896	4.3996705	0	0.2633875	0	6.4630925	0	18.0344475	0	0.4479145	0	0	0	1.294869	0	5.731745	0	0	0	0.792587	1.9392175	0.159598	7.443152	32.9428485	0	0.056723	0	0	0	0.026	0.138	0.521	1.1485	17.9205	2.5365	0	0.227	0	6.3915	0	17.969	0	0.429	0	0	0	1.2825	0	5.6665	0	0	0	0.7385	1.854	0.149	7.358	33.031	0	0.055	0	0	0	0.055	0.3701	1.0633	2.7132	21.1646	10.55	0	0.621	0	8.8902	0	22.2733	0	0.654	0	0	0	1.6243	0	7.4673	0	0	0	1.4433	2.9978	0.363	9.9919	39.9022	0	0.128	0	0	0	0	0	0.2619	0	14.899	0	0	0	0	4.093	0	13.9203	0	0.265	0	0	0	0.9709	0	4.0454	0	0	0	0.2449	0.967	0	5.0752	26.2124	0	0	0	0	0	0.0203946902267409	0.16134604951345	1.38298842602207	1.19654643810135	2.59822565349071	7.36123735724128	0	0.293517393988903	0	1.87312524061454	0	3.34194186199404	0	0.159029224788774	0	0	0	0.259159338284983	0	1.38532726811931	0	0	0	0.476601583049703	0.810930983946299	0.159847320837697	1.9109721455758	5.63157186444246	0	0.0566894709717733	0	0
4449	"Europe"	"3"	11364	"gpm unstable"	"lake"	387322.4624	702.249439794635	"CF_orig"	"GIS"	138233.620689655	60031229686.4643	80.2395928632836	3.47827330298308	0.02439	0.0118575	0.133644	0.7577055	1.035377	10.9683715	0	0	0	0	10.457629	0	50.4323435	0	0.4148665	0	0	0	3.171807	0	7.2438015	0	0	0	1.116452	0.7335375	0	3.666572	9.780523	0	0.051145	0	0	0.024	0.011	0.1205	0.623	1.0305	10.8595	0	0	0	0	10.3875	0	50.4495	0	0.401	0	0	0	3.14	0	7.168	0	0	0	1.064	0.695	0	3.5915	9.553	0	0.049	0	0	0.053	0.027	0.314	1.2245	2.2885	12.6631	0	0	0	0	13.212	0	54.9064	0	0.586	0	0	0	3.7152	0	9.041	0	0	0	1.8222	1.299	0	5.2236	13.2681	0	0.113	0	0	0	0	0	0.3469	0	9.424	0	0	0	0	7.7948	0	45.934	0	0.258	0	0	0	2.656	0	5.5459	0	0	0	0.458	0.231	0	2.2121	6.5242	0	0	0	0	0.0250767087286257	0.0121356842067344	0.141180541281787	0.599547008229787	1.00876663452578	1.29635568943269	0	0	0	0	2.11804787688177	0	3.49651645558402	0	0.133450684600568	0	0	0	0.419397262488552	0	1.37604105883347	0	0	0	0.527028096028097	0.435165869825381	0	1.18575107194483	2.66066207076329	0	0.051190157170061	0	0
4449	"Europe"	"4"	11457	"gpm unstable"	"lake"	387322.4624	702.249439794635	"CF_orig"	"GIS"	138233.620689655	60031229686.4643	80.2395928632836	3.47827330298308	0	0.0216215	0	0.83213	1.016824	9.9717545	0	0	0	0.189402	12.302842	0	36.031743	0	0.5765505	0	0	0	3.326086	0	19.068487	0	0	0	2.572583	1.623219	0	2.7571205	9.662108	0	0.0475135	0	0	0	0.021	0	0.629	0.97	9.8815	0	0	0	0.184	12.2395	0	36.133	0	0.561	0	0	0	3.3105	0	19.0325	0	0	0	2.504	1.5535	0	2.683	9.472	0	0.046	0	0	0	0.043	0	1.2716	2.2593	11.4985	0	0	0	0.4091	15.0201	0	40.0873	0	0.792	0	0	0	3.8762	0	21.5757	0	0	0	3.6443	2.5092	0	4.07	13.1349	0	0.103	0	0	0	0	0	0.348	0	8.5344	0	0	0	0	9.5559	0	31.8109	0	0.382	0	0	0	2.823	0	16.4577	0	0	0	1.5729	0.8299	0	1.5418	6.5737	0	0	0	0	0	0.015700302146575	0	1.23033642795903	0.994855367189026	1.18439149770659	0	0	0	0.193036418650634	2.12077560260729	0	3.27568847823694	0	0.165354169740213	0	0	0	0.41630663483916	0	2.0488258008948	0	0	0	0.813772263449289	0.654059211207122	0	0.958209969240733	2.58362053519299	0	0.0484047345505939	0	0
4449	"Europe"	"5"	11550	"gpm unstable"	"lake"	387322.4624	702.249439794635	"CF_orig"	"GIS"	138233.620689655	60031229686.4643	80.2395928632836	3.47827330298308	0.026554	0.0864355	0.2794605	0.9666365	4.344109	11.155093	4.130632	0	0	0.2085305	14.4763755	0	25.8976255	0	0.403371	0	0	0	3.237315	0	19.075985	0	0	0	1.6700765	1.2800955	0.1381175	1.8590145	10.658493	0	0.106087	0	0	0.025	0.083	0.252	0.74	4.2255	11.11	2.472	0	0	0.205	14.4455	0	25.965	0	0.39	0	0	0	3.23	0	19.128	0	0	0	1.6095	1.217	0.135	1.7735	10.452	0	0.102	0	0	0.057	0.131	0.557	1.4692	7.2088	13.0598	9.3341	0	0	0.46	17.7531	0	30.4262	0	0.58	0	0	0	3.8182	0	22.2528	0	0	0	2.5751	2.0801	0.31	3.0363	14.4654	0	0.205	0	0	0	0.044	0	0.4279	1.8537	9.2888	0	0	0	0	11.2787	0	21.3288	0	0.2459	0	0	0	2.6729	0	15.9247	0	0	0	0.8418	0.565	0	0.7769	7.2512	0	0	0	0	0.0265195914064335	0.0350823634589081	0.210333710028938	1.42232333426734	2.13386926125549	1.57586543184392	6.85786296340109	0	0	0.210091540280418	2.60722027594206	0	3.69367920917612	0	0.13490695794751	0	0	0	0.475881377359588	0	2.59017811899473	0	0	0	0.676376897522011	0.588119067365146	0.134500977506578	0.874894749499104	2.85273723287142	0	0.0745678524117911	0	0
4449	"Europe"	"6"	11617	"gpm unstable"	"lake"	387322.4624	702.249439794635	"CF_orig"	"GIS"	138233.620689655	60031229686.4643	80.2395928632836	3.47827330298308	0	0.0578275	0	1.6474385	0	14.5395235	0	0	0	0.252657	26.236268	0	13.181933	0	0.3088205	0.2900265	0	0	1.9157405	0	25.118378	0	0	0	1.107761	1.7790315	0.500154	5.3540195	7.7104415	0	0	0	0	0	0.056	0	1.3445	0	14.4485	0	0	0	0.241	26.213	0	13.101	0	0.294	0.245	0	0	1.882	0	24.9915	0	0	0	1.051	1.6945	0.479	5.233	7.572	0	0	0	0	0	0.097	0	2.5235	0	16.6585	0	0	0	0.534	30.3631	0	16.6863	0	0.464	0.705700000000001	0	0	2.3192	0	28.4986	0	0	0	1.8411	2.7971	0.8832	7.4399	10.7976	0	0	0	0	0	0.024	0	0.791	0	12.4326	0	0	0	0	22.2816	0	9.7422	0	0.17	0	0	0	1.5449	0	21.8384	0	0	0	0.4504	0.8658	0.1609	3.4548	4.6565	0	0	0	0	0	0.0297824317403765	0	1.82661215292036	0	1.65774573379234	0	0	0	0.244803138540583	3.16412925370363	0	2.7360071238946	0	0.120238708215061	0.318019260301497	0	0	0.303373352249629	0	2.6167126356604	0	0	0	0.58508526238586	0.765212249249155	0.285525257412212	1.5430861150626	2.48423500203794	0	0	0	0
4449	"Europe"	"7"	11684	"gpm unstable"	"lake"	387322.4624	702.249439794635	"CF_orig"	"GIS"	138233.620689655	60031229686.4643	80.2395928632836	3.47827330298308	0.072113	0.0878735	0.3956195	3.1449015	0	21.119179	0	0	0	1.153446	23.842822	0	5.1730795	0.773636	0.0828455	0	0	0	2.8220265	0	21.0018225	0	0	0	0	0.3410605	0.2022835	6.326717	13.3142035	0	0.1464185	0	0	0.07	0.083	0.352	2.636	0	21.039	0	0	0	1.114	23.824	0	5.117	0.708	0.074	0	0	0	2.7825	0	20.988	0	0	0	0	0.327	0.19	6.222	13.128	0	0.139	0	0	0.144	0.141	0.8021	4.8131	0	24.217	0	0	0	1.9441	28.1484	0	7.6415	1.8175	0.167	0	0	0	3.384	0	24.3282	0	0	0	0	0.7981	0.4531	8.7945	17.7601	0	0.292	0	0	0	0.04	0	1.683	0	18.1404	0	0	0	0.525	19.4304	0	2.8154	0	0	0	0	0	2.3129	0	17.6862	0	0	0	0	0	0	4.1217	9.0575	0	0	0	0	0.0522734108868254	0.040328981032324	0.297433110038583	2.40545704962831	0	2.38103047376918	0	0	0	0.582721878324247	3.40910723318873	0	1.91514291068942	0.801546264860211	0.0622703816430009	0	0	0	0.422592330664813	0	2.59041809578092	0	0	0	0	0.351413658840347	0.202006701575692	1.81609537913736	3.51794722763659	0	0.104717769568406	0	0
4449	"Europe"	"8"	11784	"gpm unstable"	"lake"	387322.4624	702.249439794635	"CF_orig"	"GIS"	138233.620689655	60031229686.4643	80.2395928632836	3.47827330298308	0.074902	0.200934	0.4222155	7.5606855	0	20.441596	0	0	0	2.1718945	23.906434	0	3.1870555	0	0.551639	0	0	0	2.976497	0	17.3602515	0	0	0	0.35075	1.149185	0	7.311596	11.413873	0	0.5328705	0.38763	0	0.073	0.195	0.368	6.3405	0	20.345	0	0	0	2.123	24.0025	0	3.098	0	0.533	0	0	0	2.9625	0	17.301	0	0	0	0.326	1.089	0	7.2455	11.2325	0	0.513	0.365	0	0.151	0.293	0.850500000000001	11.333	0	23.5715	0	0	0	3.3282	28.4675	0	5.301	0	0.797	0	0	0	3.5363	0	20.6855	0	0	0	0.828	2.0391	0	9.8602	15.7966	0	0.816	0.876400000000001	0	0	0.118	0	4.2032	0	17.4569	0	0	0	1.1418	19.4714	0	1.4358	0	0.3259	0	0	0	2.4487	0	14.1241	0	0	0	0	0.3549	0	4.829	7.2759	0	0.267	0	0	0.0537914691849789	0.0693796541660889	0.332333246535953	5.14848562362741	0	2.53738329559773	0	0	0	0.845081669949238	3.62414355729819	0	1.58450938192567	0	0.191428224307521	0	0	0	0.44768588241719	0	2.64479749359735	0	0	0	0.360568761009198	0.681916169045582	0	2.00367351770861	3.41288523476601	0	0.217897541057602	0.377441040388409	0
4449	"Europe"	"9"	11884	"gpm unstable"	"lake"	387322.4624	702.249439794635	"CF_orig"	"GIS"	138233.620689655	60031229686.4643	80.2395928632836	3.47827330298308	0.103802	0.233631	0.1880945	5.0553915	2.9311305	15.6626325	0	0.1122755	0	0.8432975	26.585646	0	0	0	0.774569	0	0	0	3.182317	0	17.7236685	0	0	0	0.31717	1.0185515	0.372881	10.143158	14.194854	0	0.5568965	0	0	0.1	0.225	0.169	4.1015	2.8385	15.591	0	0.107	0	0.82	26.5715	0	0	0	0.7515	0	0	0	3.162	0	17.7555	0	0	0	0.297	0.9685	0.3585	10.092	13.9255	0	0.5405	0	0	0.187	0.327	0.4531	7.45630000000001	5.6796	18.1175	0	0.241	0	1.5022	31.2237	0	0	0	1.07	0	0	0	3.7805	0	20.8772	0	0	0	0.7362	1.8095	0.721	13.0304	18.9406	0	0.8251	0	0	0.033	0.149	0	2.683	0	13.3729	0	0	0	0.273	22.0084	0	0	0	0.5039	0	0	0	2.625	0	14.4704	0	0	0	0	0.315	0	7.2779	9.4669	0	0.311	0	0	0.0602941248111569	0.071335757051545	0.19356903950859	4.70593588880283	2.03074640586958	1.9857634541132	0	0.112077541405019	0	0.485992083419394	3.70992057543312	0	0	0	0.234478825053989	0	0	0	0.474664601326954	0	2.59019030546348	0	0	0	0.321490186584342	0.610128753539528	0.268158442556182	2.27394135295402	3.81449640832293	0	0.203720369089939	0	0
4449	"Europe"	"10"	12049	"gpm unstable"	"lake"	387322.4624	702.249439794635	"CF_orig"	"GIS"	138233.620689655	60031229686.4643	80.2395928632836	3.47827330298308	0.0669945	0.289071	0	6.231913	0	16.335584	0	0	0	0.557461	28.8633105	0	0	0	0.788101	0	0	0	1.987719	0	14.2992335	0	0	0	0	0.6721385	0.3823155	7.764211	21.6238925	0	0.13803	0	0	0.066	0.281	0	5.2745	0	16.235	0	0	0	0.5505	28.8685	0	0	0	0.76	0	0	0	1.9795	0	14.202	0	0	0	0	0.6475	0.365	7.6165	21.3775	0	0.133	0	0	0.135	0.399	0	9.525	0	18.9772	0	0	0	1.1032	33.9125	0	0	0	1.0921	0	0	0	2.415	0	17.2071	0	0	0	0	1.3051	0.7483	10.3754	27.469	0	0.2731	0	0	0	0.188	0	3.5137	0	13.8081	0	0	0	0	24.1401	0	0	0	0.5118	0	0	0	1.5709	0	11.5367	0	0	0	0	0	0	5.3045	16.037	0	0	0	0	0.0493392100521916	0.0827573824572502	0	4.08197100088389	0	2.07882908848553	0	0	0	0.390533587185994	3.81140930333237	0	0	0	0.234870723862008	0	0	0	0.337260563040939	0	2.22602134929149	0	0	0	0	0.475924202201223	0.272367496199974	2.01474154154289	4.52363645547854	0	0.101959045324394	0	0
