"Dataset_ID"	"Continent"	"Sample_ID"	"Age_BP"	"Distance_weighting"	"Basin_type"	"Basin_Area"	"Basin_Diameter"	"RPP_Set"	"Basin_Source"	"Pollen_Source_Radius"	"Pollen_Source_Area"	"Median_rel_influx_at_PSR"	"Std_rel_influx_at_PSR"	"Alnus.mean"	"Amaranthaceae.mean"	"Apiaceae.mean"	"Artemisia.mean"	"Asteraceae.mean"	"Betula.mean"	"Brassicaceae.mean"	"Campanulaceae.mean"	"Caprifoliaceae.mean"	"Caryophyllaceae.mean"	"Celastraceae.mean"	"Cornus.mean"	"Corylus.mean"	"Crassulaceae.mean"	"Cyperaceae.mean"	"Elaeagnaceae.mean"	"Ericales.mean"	"Fabaceae.mean"	"Fraxinus.mean"	"Gentianaceae.mean"	"Geraniaceae.mean"	"Indeterminable.mean"	"Juncaceae.mean"	"Juniperus.mean"	"Nartheciaceae.mean"	"Onagraceae.mean"	"Orobanchaceae.mean"	"Picea.mean"	"Pinus.mean"	"Plantaginaceae.mean"	"Poaceae.mean"	"Polygonaceae.mean"	"Populus.mean"	"Primulaceae.mean"	"Prunus.mean"	"Quercus.mean"	"Ranunculaceae.mean"	"Rosaceae.mean"	"Rubiaceae.mean"	"Rumex.mean"	"Salix.mean"	"Sorbus.mean"	"Thalictrum.mean"	"Tilia.mean"	"Ulmus.mean"	"Urticaceae.mean"	"Alnus.median"	"Amaranthaceae.median"	"Apiaceae.median"	"Artemisia.median"	"Asteraceae.median"	"Betula.median"	"Brassicaceae.median"	"Campanulaceae.median"	"Caprifoliaceae.median"	"Caryophyllaceae.median"	"Celastraceae.median"	"Cornus.median"	"Corylus.median"	"Crassulaceae.median"	"Cyperaceae.median"	"Elaeagnaceae.median"	"Ericales.median"	"Fabaceae.median"	"Fraxinus.median"	"Gentianaceae.median"	"Geraniaceae.median"	"Indeterminable.median"	"Juncaceae.median"	"Juniperus.median"	"Nartheciaceae.median"	"Onagraceae.median"	"Orobanchaceae.median"	"Picea.median"	"Pinus.median"	"Plantaginaceae.median"	"Poaceae.median"	"Polygonaceae.median"	"Populus.median"	"Primulaceae.median"	"Prunus.median"	"Quercus.median"	"Ranunculaceae.median"	"Rosaceae.median"	"Rubiaceae.median"	"Rumex.median"	"Salix.median"	"Sorbus.median"	"Thalictrum.median"	"Tilia.median"	"Ulmus.median"	"Urticaceae.median"	"Alnus.q90"	"Amaranthaceae.q90"	"Apiaceae.q90"	"Artemisia.q90"	"Asteraceae.q90"	"Betula.q90"	"Brassicaceae.q90"	"Campanulaceae.q90"	"Caprifoliaceae.q90"	"Caryophyllaceae.q90"	"Celastraceae.q90"	"Cornus.q90"	"Corylus.q90"	"Crassulaceae.q90"	"Cyperaceae.q90"	"Elaeagnaceae.q90"	"Ericales.q90"	"Fabaceae.q90"	"Fraxinus.q90"	"Gentianaceae.q90"	"Geraniaceae.q90"	"Indeterminable.q90"	"Juncaceae.q90"	"Juniperus.q90"	"Nartheciaceae.q90"	"Onagraceae.q90"	"Orobanchaceae.q90"	"Picea.q90"	"Pinus.q90"	"Plantaginaceae.q90"	"Poaceae.q90"	"Polygonaceae.q90"	"Populus.q90"	"Primulaceae.q90"	"Prunus.q90"	"Quercus.q90"	"Ranunculaceae.q90"	"Rosaceae.q90"	"Rubiaceae.q90"	"Rumex.q90"	"Salix.q90"	"Sorbus.q90"	"Thalictrum.q90"	"Tilia.q90"	"Ulmus.q90"	"Urticaceae.q90"	"Alnus.q10"	"Amaranthaceae.q10"	"Apiaceae.q10"	"Artemisia.q10"	"Asteraceae.q10"	"Betula.q10"	"Brassicaceae.q10"	"Campanulaceae.q10"	"Caprifoliaceae.q10"	"Caryophyllaceae.q10"	"Celastraceae.q10"	"Cornus.q10"	"Corylus.q10"	"Crassulaceae.q10"	"Cyperaceae.q10"	"Elaeagnaceae.q10"	"Ericales.q10"	"Fabaceae.q10"	"Fraxinus.q10"	"Gentianaceae.q10"	"Geraniaceae.q10"	"Indeterminable.q10"	"Juncaceae.q10"	"Juniperus.q10"	"Nartheciaceae.q10"	"Onagraceae.q10"	"Orobanchaceae.q10"	"Picea.q10"	"Pinus.q10"	"Plantaginaceae.q10"	"Poaceae.q10"	"Polygonaceae.q10"	"Populus.q10"	"Primulaceae.q10"	"Prunus.q10"	"Quercus.q10"	"Ranunculaceae.q10"	"Rosaceae.q10"	"Rubiaceae.q10"	"Rumex.q10"	"Salix.q10"	"Sorbus.q10"	"Thalictrum.q10"	"Tilia.q10"	"Ulmus.q10"	"Urticaceae.q10"	"Alnus.sd"	"Amaranthaceae.sd"	"Apiaceae.sd"	"Artemisia.sd"	"Asteraceae.sd"	"Betula.sd"	"Brassicaceae.sd"	"Campanulaceae.sd"	"Caprifoliaceae.sd"	"Caryophyllaceae.sd"	"Celastraceae.sd"	"Cornus.sd"	"Corylus.sd"	"Crassulaceae.sd"	"Cyperaceae.sd"	"Elaeagnaceae.sd"	"Ericales.sd"	"Fabaceae.sd"	"Fraxinus.sd"	"Gentianaceae.sd"	"Geraniaceae.sd"	"Indeterminable.sd"	"Juncaceae.sd"	"Juniperus.sd"	"Nartheciaceae.sd"	"Onagraceae.sd"	"Orobanchaceae.sd"	"Picea.sd"	"Pinus.sd"	"Plantaginaceae.sd"	"Poaceae.sd"	"Polygonaceae.sd"	"Populus.sd"	"Primulaceae.sd"	"Prunus.sd"	"Quercus.sd"	"Ranunculaceae.sd"	"Rosaceae.sd"	"Rubiaceae.sd"	"Rumex.sd"	"Salix.sd"	"Sorbus.sd"	"Thalictrum.sd"	"Tilia.sd"	"Ulmus.sd"	"Urticaceae.sd"
45636	"Europe"	"1"	-52	"gpm unstable"	"lake"	21244.69489	164.467582367411	"CF_orig"	"GIS"	103521.793103448	33667699661.5975	80.5762338672703	3.32211010966543	0.0748155	0	0	0	5.9413065	14.5939965	0	0.1378655	0	0	0	0	0	0	23.1577785	0	6.695031	0	0	0	0	1.756085	0.3535665	0.9743215	0	0	0	0.6374105	1.0511445	0	26.4287515	0	0	0	0	0.1186295	0.3384565	1.119854	0	8.3352935	7.579157	0.3524185	0	0	0	0.35411	0.072	0	0	0	5.728	14.443	0	0.1325	0	0	0	0	0	0	23.051	0	6.604	0	0	0	0	1.58	0.299	0.941	0	0	0	0.602	1.037	0	26.3725	0	0	0	0	0.116	0.32	1.058	0	8.18	7.3115	0.299	0	0	0	0.298	0.147	0	0	0	9.7918	16.9663	0	0.2991	0	0	0	0	0	0	27.6796	0	9.5855	0	0	0	0	2.9748	0.8082	1.3292	0	0	0	1.2582	1.328	0	30.3352	0	0	0	0	0.258	0.8241	1.988	0	11.2251	11.046	0.824	0	0	0	0.819	0	0	0	0	2.3041	12.4244	0	0	0	0	0	0	0	0	19.0115	0	3.9823	0	0	0	0	0.6728	0	0.6589	0	0	0	0	0.787	0	22.5329	0	0	0	0	0	0	0.356	0	5.6755	4.3536	0	0	0	0	0	0.05176425628621	0	0	0	2.908909988504	1.80490579642117	0	0.135499928136558	0	0	0	0	0	0	3.33257505312035	0	2.1584398132106	0	0	0	0	1.05566815401465	0.61015698664518	0.274992515497313	0	0	0	0.455980614884367	0.212240157750674	0	2.98476530295174	0	0	0	0	0.120292944206894	0.361044356861537	0.668680224251587	0	2.13714445383695	2.69512769808881	0.416216880488468	0	0	0	0.398119521597143
45636	"Europe"	"2"	216	"gpm unstable"	"lake"	21244.69489	164.467582367411	"CF_orig"	"GIS"	103521.793103448	33667699661.5975	80.5762338672703	3.32211010966543	0.0532295	0	0	0	4.1060285	15.0481765	0	0	0	0	0	0	0.4099135	0	24.105447	0	7.095709	1.12232	0	0	0	1.5311455	0	2.771548	0	0	1.576327	0	0.7260365	0	26.369335	0	0.218396	0	0	0	0	2.5846955	0	8.3632665	3.4306745	0	0	0.487728	0	0	0.049	0	0	0	4.0255	14.8255	0	0	0	0	0	0	0.4	0	24.04	0	6.9645	1.0205	0	0	0	1.3325	0	2.693	0	0	1.473	0	0.711	0	26.3525	0	0.11	0	0	0	0	2.4815	0	8.1855	3.2045	0	0	0.472	0	0	0.1131	0	0	0	7.8044	17.8229	0	0	0	0	0	0	0.8921	0	28.8758	0	10.479	2.663	0	0	0	2.7334	0	3.5956	0	0	3.6681	0	0.9991	0	30.7036	0	0.4061	0	0	0	0	4.1597	0	11.5642	6.2088	0	0	1.1352	0	0	0	0	0	0	0	12.6276	0	0	0	0	0	0	0	0	19.1647	0	3.9345	0	0	0	0	0.4269	0	2.0379	0	0	0	0	0.4779	0	22.0843	0	0	0	0	0	0	1.1526	0	5.3642	1.071	0	0	0	0	0	0.0536880063958924	0	0	0	2.7590431704299	2.04984668037741	0	0	0	0	0	0	0.406638262287168	0	3.84398380406759	0	2.59549969170559	1.18414853987253	0	0	0	1.54554250674313	0	0.655025333700839	0	0	1.55930744336146	0	0.203326545265872	0	3.38303859952232	0	0.877999875896937	0	0	0	0	1.18687430382762	0	2.44762790670122	2.04870709959714	0	0	0.496418883474365	0	0
45636	"Europe"	"3"	438	"gpm unstable"	"lake"	21244.69489	164.467582367411	"CF_orig"	"GIS"	103521.793103448	33667699661.5975	80.5762338672703	3.32211010966543	0.163346	0.041842	0	0	5.1870955	12.7635655	0	0	0	0	0	0.3801655	0	0	19.800188	0	9.4007545	0	0	0	0	3.580832	0	3.159402	0	0	0	0.722705	0.4096035	0	24.846575	0	0	0	0	0	1.581346	5.1080365	0	8.703454	3.760096	0	0	0	0	0.390994	0.162	0.039	0	0	5.0825	12.6355	0	0	0	0	0	0.325	0	0	19.7175	0	9.3785	0	0	0	0	3.2815	0	3.083	0	0	0	0.684	0.395	0	24.653	0	0	0	0	0	1.522	4.9605	0	8.5945	3.5955	0	0	0	0	0.337	0.27	0.082	0	0	8.9308	14.874	0	0	0	0	0	0.9503	0	0	24.1233	0	12.8946	0	0	0	0	5.721	0	4.074	0	0	0	1.4524	0.5871	0	28.7512	0	0	0	0	0	2.6183	7.1121	0	11.7179	6.2759	0	0	0	0	0.9381	0.045	0	0	0	1.761	10.7308	0	0	0	0	0	0	0	0	15.4677	0	5.9992	0	0	0	0	1.8779	0	2.3437	0	0	0	0	0.252	0	21.1967	0	0	0	0	0	0.689	3.235	0	5.8775	1.4676	0	0	0	0	0	0.0834423729216721	0.029670122920154	0	0	2.76112628315974	1.64235015228821	0	0	0	0	0	0.432503428561681	0	0	3.3881713959539	0	2.62645206875444	0	0	0	0	1.63735754086709	0	0.701149958302797	0	0	0	0.538129250756972	0.136056458750527	0	2.9896424705014	0	0	0	0	0	0.782299055470537	1.54624389352291	0	2.26609268961421	1.92515515217968	0	0	0	0	0.421634584475008
45636	"Europe"	"4"	742	"gpm unstable"	"lake"	21244.69489	164.467582367411	"CF_orig"	"GIS"	103521.793103448	33667699661.5975	80.5762338672703	3.32211010966543	0	0	0	0	4.7902635	20.2853085	0	0	0	0.1847295	0	0.5669755	0	0	21.0646475	0	4.82686	1.2873695	0	0	0	2.3367075	0	4.2777885	0	0	3.555295	0	0.6411745	0	25.4829095	0	0	0	0	0	0.543577	3.6258745	0	2.7101495	2.6964035	0	0	0	0	1.1239485	0	0	0	0	4.7535	20.131	0	0	0	0.18	0	0.48	0	0	21.0725	0	4.7685	1.166	0	0	0	2.0655	0	4.147	0	0	3.369	0	0.626	0	25.467	0	0	0	0	0	0.526	3.502	0	2.605	2.4995	0	0	0	0	0.927	0	0	0	0	9.4174	23.6673	0	0	0	0.402	0	1.3061	0	0	26.1815	0	7.8699	3.1102	0	0	0	4.1084	0	5.6	0	0	7.0008	0	0.9072	0	30.1238	0	0	0	0	0	1.2701	5.6249	0	4.8424	5.2291	0	0	0	0	2.38	0	0	0	0	0	16.9572	0	0	0	0	0	0	0	0	15.7885	0	1.9271	0	0	0	0	0.8357	0	3.1699	0	0	0	0	0.395	0	20.8989	0	0	0	0	0	0	1.776	0	0.8706	0	0	0	0	0	0	0	0	0	0	3.33135718835822	2.66909295790475	0	0	0	0.187013430911848	0	0.66763491002665	0	0	4.1389380674766	0	2.28725874917834	1.36518656972402	0	0	0	1.45714206975486	0	0.975431996890623	0	0	2.52550319603274	0	0.200434987319632	0	3.56125891755271	0	0	0	0	0	0.554118695619826	1.52736391112539	0	1.54815543850759	1.94896357641667	0	0	0	0	0.93420069488141
45636	"Europe"	"5"	1042	"gpm unstable"	"lake"	21244.69489	164.467582367411	"CF_orig"	"GIS"	103521.793103448	33667699661.5975	80.5762338672703	3.32211010966543	0.2129555	0.026313	0.2608815	0.1614225	4.3181325	13.772188	0	0	0	0	0	0.506135	0.8504035	0	25.0691285	0	2.1627475	0	0	0	0.4936035	4.973064	0	4.227679	0	0	0	0.4520635	0.5681075	0	21.936057	0.504799	0	0	0	0	2.968554	4.277033	0	8.606926	3.6518375	0	0	0	0	0	0.206	0.025	0.242	0.096	4.2015	13.6905	0	0	0	0	0	0.446	0.8285	0	24.7465	0	2.091	0	0	0	0.422	4.67	0	4.1055	0	0	0	0.434	0.553	0	21.8365	0.434	0	0	0	0	2.8445	4.1945	0	8.476	3.416	0	0	0	0	0	0.355	0.06	0.6121	0.3251	8.3142	16.1665	0	0	0	0	0	1.1883	1.6912	0	30.4476	0	4.1981	0	0	0	1.1834	7.468	0	5.377	0	0	0	1.0434	0.802	0	25.8752	1.1915	0	0	0	0	4.6942	6.3051	0	11.8325	6.4892	0	0	0	0	0	0.093	0	0	0	0	11.4285	0	0	0	0	0	0	0	0	20.0404	0	0	0	0	0	0	2.6749	0	3.1819	0	0	0	0	0.356	0	18.0956	0	0	0	0	0	1.446	2.3209	0	5.4836	1.1288	0	0	0	0	0	0.108593797365057	0.0271499095724995	0.270048304014301	0.777327107278271	2.93421070309697	1.88441027929333	0	0	0	0	0	0.511729863797053	0.614719040242751	0	4.08767928462529	0	1.49040667899005	0	0	0	0.553963136739425	2.15729703312932	0	0.941765515455971	0	0	0	0.461049823704249	0.175983755173006	0	3.06157354950857	0.565063865580779	0	0	0	0	1.28176692355013	1.58012655913457	0	2.47276686274763	2.20886789233232	0	0	0	0	0
45636	"Europe"	"6"	1348	"gpm unstable"	"lake"	21244.69489	164.467582367411	"CF_orig"	"GIS"	103521.793103448	33667699661.5975	80.5762338672703	3.32211010966543	0.225832	0	0.2966725	0	6.821388	16.716113	0	0	0	0	0.568762	0	0.9156845	0	28.797466	0	1.1456565	0	0	0.546184	0.5170205	2.6177355	0	1.823452	0	0	1.7103905	0.4808715	0.5540075	0.57344	19.7037145	0	0	0	0	0.184444	1.587552	4.0253595	0.3045625	5.918212	2.5348	0.5379985	0.1156625	0	0.2372455	0.539775	0.2165	0	0.263	0	6.679	16.577	0	0	0	0	0.4665	0	0.8895	0	28.791	0	1.127	0	0	0.474	0.449	2.37	0	1.7555	0	0	1.6255	0.463	0.5415	0.457	19.6755	0	0	0	0	0.176	1.513	3.913	0.295	5.8	2.3475	0.461	0.112	0	0.212	0.454	0.3751	0	0.7193	0	11.9291	19.7306	0	0	0	0	1.3	0	1.8002	0	34.2775	0	2.465	0	0	1.2775	1.2571	4.4869	0	2.4941	0	0	3.9653	1.1162	0.7901	1.3405	23.8763	0	0	0	0	0.411	2.7887	6.1035	0.695	8.8861	5.0236	1.2981	0.2621	0	0.5661	1.3072	0.099	0	0	0	2.2923	13.916	0	0	0	0	0	0	0	0	23.2202	0	0	0	0	0	0	1.013	0	1.242	0	0	0	0	0.335	0	15.7563	0	0	0	0	0	0.497	2.1826	0	3.2273	0	0	0	0	0	0	0.115057259060136	0	0.312839325318098	0	3.84125176902433	2.24472341098562	0	0	0	0	0.638232444868514	0	0.642757250757586	0	4.31309968541096	0	1.11268478205638	0	0	0.566226856101232	0.562797700515561	1.50563912347043	0	0.510102215081365	0	0	1.66975892015448	0.485862078132502	0.176069374554685	1.09669010116304	3.1346065263486	0	0	0	0	0.188908777263164	0.954808553576575	1.52966806021665	0.3056420694719	2.19345939445287	1.84440065329769	0.587222995054443	0.119272908101771	0	0.247336837097191	0.632978871290938
45636	"Europe"	"7"	1650	"gpm unstable"	"lake"	21244.69489	164.467582367411	"CF_orig"	"GIS"	103521.793103448	33667699661.5975	80.5762338672703	3.32211010966543	0.1053385	0	0	0	13.1629025	18.815139	0	0	0	0	0	0	0	0	19.9281545	0	5.3452885	0	0	0	0	4.428871	0	1.8856365	0	0	0	0	0.519899	0	15.967396	0	0	0	0	0	0	7.5901335	0	8.670588	3.5806595	0	0	0	0	0	0.102	0	0	0	12.8905	18.6465	0	0	0	0	0	0	0	0	19.815	0	5.186	0	0	0	0	4.092	0	1.809	0	0	0	0	0.5065	0	15.826	0	0	0	0	0	0	7.4365	0	8.5705	3.3715	0	0	0	0	0	0.207	0	0	0	19.6806	22.0777	0	0	0	0	0	0	0	0	24.9425	0	8.4793	0	0	0	0	6.9399	0	2.5511	0	0	0	0	0.7461	0	19.6322	0	0	0	0	0	0	10.4155	0	11.9178	6.3941	0	0	0	0	0	0	0	0	0	7.0569	15.7349	0	0	0	0	0	0	0	0	14.9695	0	2.3487	0	0	0	0	2.268	0	1.2949	0	0	0	0	0.3089	0	12.4698	0	0	0	0	0	0	4.8716	0	5.4915	1.1209	0	0	0	0	0	0.0757282926316344	0	0	0	4.8601800211425	2.43934550790421	0	0	0	0	0	0	0	0	3.84980481741553	0	2.35523386111401	0	0	0	0	2.03368201216963	0	0.506592321554402	0	0	0	0	0.171983283850385	0	2.80951749620192	0	0	0	0	0	0	2.15406543856833	0	2.50778060903412	2.1111789521127	0	0	0	0	0
45636	"Europe"	"8"	1973	"gpm unstable"	"lake"	21244.69489	164.467582367411	"CF_orig"	"GIS"	103521.793103448	33667699661.5975	80.5762338672703	3.32211010966543	0.214616	0	0	0	15.959907	21.061544	0	0	0	0.271392	0	0	0.358026	0	24.9071755	0	3.4809755	0	0	0	0	3.3254515	0	1.1945345	0	0	1.3404785	0	0.889332	0	12.6977435	0	0	0	0	0	0.396541	4.4433615	0	3.861452	4.773603	0.4204895	0	0	0	0.403375	0.208	0	0	0	15.9855	20.8695	0	0	0	0.2585	0	0	0.342	0	24.931	0	3.387	0	0	0	0	2.998	0	1.1425	0	0	1.224	0	0.869	0	12.6535	0	0	0	0	0	0.3775	4.333	0	3.717	4.582	0.352	0	0	0	0.347	0.343	0	0	0	22.173	24.6501	0	0	0	0.535	0	0	0.783	0	29.7705	0	5.7903	0	0	0	0	5.3031	0	1.6311	0	0	3.1312	0	1.188	0	15.6363	0	0	0	0	0	0.9261	6.4439	0	5.9452	7.7387	1.0081	0	0	0	0.9721	0.089	0	0	0	9.5008	17.7837	0	0	0	0	0	0	0	0	19.988	0	1.5037	0	0	0	0	1.6408	0	0.8069	0	0	0	0	0.629	0	9.837	0	0	0	0	0	0	2.5948	0	1.9179	2.0402	0	0	0	0	0	0.0980434383418949	0	0	0	4.91087661654439	2.69474857899879	0	0	0	0.195518710406599	0	0	0.347600780314483	0	3.8392980921804	0	1.71658392689923	0	0	0	0	1.97517189192462	0	0.340410214839293	0	0	1.37574112548834	0	0.220210604038646	0	2.2588771772185	0	0	0	0	0	0.405877556184506	1.48222137412692	0	1.5553500006456	2.24438479565035	0.471331592007752	0	0	0	0.446148800010574
45636	"Europe"	"9"	2228	"gpm unstable"	"lake"	21244.69489	164.467582367411	"CF_orig"	"GIS"	103521.793103448	33667699661.5975	80.5762338672703	3.32211010966543	0.208247	0.024871	0.26818	0.1389355	6.3875195	24.4122305	8.48839	0	0	0	0	0	0	0	26.4991205	0	3.121959	1.1490985	0	0	0	1.52949	0	1.970638	0	0	0	0	0.604318	0	10.8194065	0	0	0	0	0	0.98293	2.1112265	0	3.1407855	8.142595	0	0	0	0	0	0.195	0.024	0.242	0.096	6.0955	24.635	5.2475	0	0	0	0	0	0	0	26.6935	0	2.957	1.0445	0	0	0	1.3255	0	1.918	0	0	0	0	0.594	0	10.7955	0	0	0	0	0	0.902	1.961	0	2.9515	7.8815	0	0	0	0	0	0.351	0.059	0.6441	0.3211	11.4496	29.5513	20.4808	0	0	0	0	0	0	0	32.938	0	5.5963	2.7272	0	0	0	2.8657	0	2.7351	0	0	0	0	0.8532	0	14.2343	0	0	0	0	0	1.985	3.603	0	5.2962	12.584	0	0	0	0	0	0.066	0	0	0	2.0908	19.5731	0	0	0	0	0	0	0	0	20.1999	0	1.0359	0	0	0	0	0.4089	0	1.335	0	0	0	0	0.356	0	7.5869	0	0	0	0	0	0	0.8208	0	1.2079	3.9708	0	0	0	0	0	0.11225731977881	0.0259657942346295	0.285097377850847	0.253652506663779	3.73260761230181	4.46047945515442	12.1242882204411	0	0	0	0	0	0	0	5.33213893112043	0	1.84093699317098	1.19133967150607	0	0	0	1.10722744556306	0	0.580119647451006	0	0	0	0	0.199101189142001	0	2.67782382308312	0	0	0	0	0	0.722665143448041	1.12590319397311	0	1.61774367246008	3.42835314175878	0	0	0	0	0
45636	"Europe"	"10"	2422	"gpm unstable"	"lake"	21244.69489	164.467582367411	"CF_orig"	"GIS"	103521.793103448	33667699661.5975	80.5762338672703	3.32211010966543	0	0	0	0	2.938174	32.5325535	0	0	0	0	0	0	0	0.67433	20.1076885	0	1.3881225	0	0	0	0	7.4312405	0	1.5227235	0	0	2.1741545	0.594908	0.621904	0	13.200189	0	0	0	0	0.2183635	1.2831435	4.9858575	0	4.140245	4.731909	0	0.1441975	0	0	1.3102825	0	0	0	0	2.82	32.3225	0	0	0	0	0	0	0	0.589	20.043	0	1.3785	0	0	0	0	6.8325	0	1.4755	0	0	2.04	0.5665	0.604	0	13.1835	0	0	0	0	0.216	1.2105	4.8325	0	4.0255	4.511	0	0.138	0	0	1.1375	0	0	0	0	6.529	37.6501	0	0	0	0	0	0	0	1.556	25.73	0	3.0492	0	0	0	0	11.6087	0	2.1111	0	0	4.8812	1.4091	0.901	0	16.8077	0	0	0	0	0.49	2.5221	7.5772	0	6.8605	8.4473	0	0.3241	0	0	2.5919	0	0	0	0	0	27.8304	0	0	0	0	0	0	0	0	14.6024	0	0	0	0	0	0	4.0206	0	1.0179	0	0	0	0	0.366	0	9.5317	0	0	0	0	0	0	2.7109	0	1.7989	1.5178	0	0	0	0	0	0	0	0	0	2.86180464700909	3.87747537203889	0	0	0	0	0	0	0	0.696105885481441	4.26314646667997	0	1.40294739894119	0	0	0	0	3.36410373749652	0	0.449602471344264	0	0	2.15407679042305	0.626909392359944	0.208613440525254	0	2.8200505603376	0	0	0	0	0.227787501721935	0.928114289284858	1.94133807049306	0	2.09074538265724	2.74084664472202	0	0.14680912080905	0	0	1.04139685634246
